
qid,labels,en
68a8dd37ff0fa456770b87b9,be:Прыслаў; cs:Prislav; da:Prislav; de:Prislav; el:Πρίσλαβ; fr:Prislav de Laaland; nb:Prislav av Lolland; nl:Prislav; pl:Przesław; ru:Прислав; sv:Prislav av Lolland,Prislav
68a8dd37ff0fa456770b8801,ru:Дрогон,Drogon
68a8dd37ff0fa456770b884b,es:Roberto de Grandmesnil; sh:Robert de Grandmesnil,Roberto de Grandmesnil
68a8dd37ff0fa456770b887e,vi:Thái hậu Seon-ui,Thai hau Seon-ui
68a8dd37ff0fa456770b8883,vi:Thái hậu Heonmok,Thai hau Heonmok
68a8dd37ff0fa456770b88b3,ru:Юйвэнь Сянь,Yuyven Syan
68a8dd37ff0fa456770b88b4,ru:Юйвэнь Чжэнь,Yuyven Chzhen
68a8dd37ff0fa456770b88b5,ru:Юйвэнь Ши,Yuyven Shi
68a8dd37ff0fa456770b88b6,ru:принцесса Хэнань,printsessa Khenan
68a8dd37ff0fa456770b88fe,ast:Mathilde de Vendôme; ca:Matilde de Vendôme; fr:Mathilde de Vendôme; nl:Mathilde de Vendôme; ru:Матильда (Маго) де Вандом,Mathilde de Vendome
68a8dd37ff0fa456770b8952,vi:Công chúa Xương Nhạc,Cong chua Xuong Nhac
68a8dd37ff0fa456770b895d,ru:Юйвэнь Кан,Yuyven Kan
68a8dd37ff0fa456770b898d,vi:Công chúa Tấn An,Cong chua Tan An
68a8dd37ff0fa456770b8990,vi:Tiêu Triện,Tieu Trien
68a8dd37ff0fa456770b89dc,vi:Trưởng Tôn An Thế,Truong Ton An The
68a8dd37ff0fa456770b8a5a,vi:Trịnh Bì Li,Trinh Bi Li
68a8dd37ff0fa456770b8a5b,vi:Vi Trường Anh,Vi Truong Anh
68a8dd37ff0fa456770b8ac5,vi:Bùi thị,Bui thi
68a8dd37ff0fa456770b8b5a,bg:Зигфрид I фон Лебенау; ca:Sigfrid I de Lebenau; cs:Sigfrid ze Sponheimu; de:Siegfried I.; nl:Siegfried I.; ru:Зигфрид II,Zigfrid I fon Lebenau
68a8dd37ff0fa456770b8b77,ast:Werigand; bg:Вериганд; cs:Werigand Friulský; de:Werigand; it:Werigand del Friuli; nl:Werigand; ru:Вериганд Фриульский,Werigand
68a8dd37ff0fa456770b8b7f,ast:Otto III. von Scheyern; de:Otto III. von Scheyern; fr:Otto III. von Scheyern; nl:Otto III. von Scheyern; ru:Оттон III фон Шайерн,Otto III. von Scheyern
68a8dd37ff0fa456770b8c64,be:Мікула; be-tarask:Мікула Давыдавіч; cs:Mikula Davidovič; el:Μικούλα Νταβίντοβιτς; ru:Микула Давыдович; uk:Микула Давидович,Mikula Davidovic
68a8dd37ff0fa456770b8c65,ast:Volodša Davidovič; be:Валодша; cs:Volodša Davidovič; ru:Володша Давыдович; uk:Володша,Volodsa Davidovic
68a8dd37ff0fa456770b8c71,ast:Asbjørn Selsbane; da:Asbjørn Selsbane; es:Asbjørn Selsbane; nb:Asbjørn Selsbane; nn:Asbjørn Selsbane,Asbjorn Selsbane
68a8dd37ff0fa456770b8c75,es:Erling de Bjarkøy,Erling de Bjarkoy
68a8dd37ff0fa456770b8da9,ru:Изабелла де Санлис,Izabella de Sanlis
68a8dd37ff0fa456770b8e26,fr:Ailill mac Donnchad; ga:Ailill mac Donnchad; ru:Айлиль мак Доннхада,Ailill mac Donnchad
68a8dd37ff0fa456770b92ae,hy:Մանեճ Գնունի,Manech Gnowni
68a8dd37ff0fa456770b9766,vi:Vương hậu Yun-yong,Vuong hau Yun-yong
68a8dd37ff0fa456770b979e,vi:Dương Tập,Duong Tap
68a8dd37ff0fa456770b98cc,vi:Vệ Tự bá; ko:위 사백; lzh:衛嗣伯,Ve Tu ba
68a8dd37ff0fa456770b98db,ko:위 첩백; lzh:衛𢈻伯; vi:Vệ Ốt bá,Ve Ot ba
68a8dd37ff0fa456770b98eb,ko:위 정백; lzh:衛靖伯; vi:Vệ Tĩnh bá,Ve Tinh ba
68a8dd37ff0fa456770b98fe,ko:위 정백; lzh:衛貞伯; vi:Vệ Trinh bá,Ve Trinh ba
68a8dd37ff0fa456770b990d,ast:Lỗ Bá Ngự; ko:백어; lzh:魯伯御; nan:Pek-gū; nl:Lỗ Bá Ngự; ru:Бо-юй; vi:Lỗ Bá Ngự; yue:伯禦; zh-hans:伯御; zh-hant:伯御; zh-hk:伯御,Lo Ba Ngu
68a8dd37ff0fa456770b990f,ast:Vệ Khoảnh hầu; ko:위 경후; lzh:衛頃侯; nl:Vệ Khoảnh hầu; vi:Vệ Khoảnh hầu; zh-hans:卫顷侯; zh-hant:衛頃侯; zh-hk:衞頃侯,Ve Khoanh hau
68a8dd37ff0fa456770b9911,ast:Tào Thạch Phủ; ko:조백 석보; lzh:曹伯石甫; nl:Tào Thạch Phủ; vi:Tào Thạch Phủ; zh-hans:石甫; zh-hant:石甫; zh-hk:石甫,Tao Thach Phu
68a8dd37ff0fa456770b9928,ast:Vệ Ly hầu; lzh:衛釐侯; nl:Vệ Ly hầu; vi:Vệ Ly hầu; zh-hans:卫僖侯; zh-hant:衛僖侯; zh-hk:衞僖侯,Ve Ly hau
68a8dd37ff0fa456770b9929,ast:Tào Hoàn công; lzh:曹桓公; nl:Tào Hoàn công; vi:Tào Hoàn công; zh-hans:曹桓公; zh-hant:曹桓公; zh-hk:曹桓公,Tao Hoan cong
68a8dd37ff0fa456770b993a,ast:Cơ Khánh Phủ; es:Cơ Khánh Phủ; nl:Cơ Khánh Phủ; vi:Cơ Khánh Phủ; zh-hans:庆父; zh-hant:慶父; zh-hk:慶父,Co Khanh Phu
68a8dd37ff0fa456770b993c,ast:Cơ Quý Hữu; es:Cơ Quý Hữu; nl:Cơ Quý Hữu; vi:Cơ Quý Hữu; wuu:季成子; zh-hans:季成子; zh-hant:季成子; zh-hk:季成子,Co Quy Huu
68a8dd37ff0fa456770b993d,vi:Thi Bá,Thi Ba
68a8dd37ff0fa456770b9981,vi:Ai Khương,Ai Khuong
68a8dd37ff0fa456770b9989,ast:Đông Môn Tương Trọng; cs:Đông Môn Tương Trọng; es:Đông Môn Tương Trọng; lzh:東門襄仲; nl:Đông Môn Tương Trọng; vi:Đông Môn Tương Trọng; zh-hans:东门襄仲; zh-hant:東門襄仲; zh-hk:東門襄仲,Dong Mon Tuong Trong
68a8dd37ff0fa456770b998a,ast:Trọng tôn Ngao; nl:Trọng tôn Ngao; vi:Trọng tôn Ngao; zh-hans:孟穆伯; zh-hant:孟穆伯; zh-hk:孟穆伯,Trong ton Ngao
68a8dd37ff0fa456770b998d,vi:Tề Trọng Vô Dật; zh-hant:齊仲無佚,Te Trong Vo Dat
68a8dd37ff0fa456770b99b3,ko:위 소백; vi:Vệ Chiêu bá,Ve Chieu ba
68a8dd37ff0fa456770b99b6,vi:Tề Tử,Te Tu
68a8dd37ff0fa456770b99b7,ast:Vệ Đái công; ko:위 대공; lzh:衛戴公; nl:Vệ Đái công; vi:Vệ Đái công; zh-hans:卫戴公; zh-hant:衛戴公; zh-hk:衞戴公,Ve Dai cong
68a8dd37ff0fa456770b99b8,ast:Vệ Văn công; ko:위 문공; lzh:衛文公; nl:Vệ Văn công; vi:Vệ Văn công; zh-hans:卫文公; zh-hant:衛文公; zh-hk:衞文公,Ve Van cong
68a8dd37ff0fa456770b99ba,ast:Vệ Huệ công; ko:위 혜공; lzh:衛惠公; nl:Vệ Huệ công; vi:Vệ Huệ công; zh-hans:卫惠公; zh-hant:衛惠公; zh-hk:衞惠公,Ve Hue cong
68a8dd37ff0fa456770b99bc,vi:Thọ Tử,Tho Tu
68a8dd37ff0fa456770b99cf,vi:Công Tôn Quy Phụ,Cong Ton Quy Phu
68a8dd37ff0fa456770b99d1,ast:Trọng tôn Nạn; nl:Trọng tôn Nạn; vi:Trọng tôn Nạn; zh-hans:孟惠叔; zh-hant:孟惠叔; zh-hk:孟惠叔,Trong ton Nan
68a8dd37ff0fa456770b99d2,ast:Trọng tôn Cốc; nl:Trọng tôn Cốc; vi:Trọng tôn Cốc; zh-hans:孟文伯; zh-hant:孟文伯; zh-hk:孟文伯,Trong ton Coc
68a8dd37ff0fa456770b99d6,ast:Quý tôn Hàng Phủ; es:Quý tôn Hàng Phủ; nl:Quý tôn Hàng Phủ; vi:Quý tôn Hàng Phủ; wuu:季文子; zh-hans:季文子; zh-hant:季文子; zh-hk:季文子,Quy ton Hang Phu
68a8dd37ff0fa456770b99e4,ast:Tào Chiêu công; lzh:曹昭公; nl:Tào Chiêu công; vi:Tào Chiêu công; zh-hans:曹昭公; zh-hant:曹昭公; zh-hk:曹昭公,Tao Chieu cong
68a8dd37ff0fa456770b9a00,ast:Vệ Kiềm Mâu; ko:위군 검모; lzh:黔牟; nl:Vệ Kiềm Mâu; vi:Vệ Kiềm Mâu; zh-hans:公子黔牟; zh-hant:公子黔牟; zh-hk:公子黔牟,Ve Kiem Mau
68a8dd37ff0fa456770b9a03,ast:Vệ Hà; lzh:公子瑕; nl:Vệ Hà; vi:Vệ Hà; zh-hans:公子瑕; zh-hant:公子瑕; zh-hk:公子瑕,Ve Ha
68a8dd37ff0fa456770b9a05,ast:Vệ Thành công; ko:위 성공; lzh:衛成公; nl:Vệ Thành công; vi:Vệ Thành công; zh-hans:卫成公; zh-hant:衛成公; zh-hk:衞成公,Ve Thanh cong
68a8dd37ff0fa456770b9a0a,vi:Khánh Khắc,Khanh Khac
68a8dd37ff0fa456770b9a1c,ast:Trọng tôn Miệt; nl:Trọng tôn Miệt; vi:Trọng tôn Miệt; zh-hans:孟献子; zh-hant:孟獻子; zh-hk:孟獻子,Trong ton Miet
68a8dd37ff0fa456770b9a3c,ast:Vệ Mục công; lzh:衛穆公; nl:Vệ Mục công; vi:Vệ Mục công; zh-hans:卫穆公; zh-hant:衛穆公; zh-hk:衞穆公,Ve Muc cong
68a8dd37ff0fa456770b9a53,vi:Công tử Yển (con Lỗ Tuyên công),Cong tu Yen (con Lo Tuyen cong)
68a8dd37ff0fa456770b9a6c,ast:Tào Văn công; lzh:曹文公; nl:Tào Văn công; vi:Tào Văn công; zh-hans:曹文公; zh-hant:曹文公; zh-hk:曹文公,Tao Van cong
68a8dd37ff0fa456770b9a88,ast:Vệ Định công; lzh:衛定公; nl:Vệ Định công; vi:Vệ Định công; zh-hans:卫定公; zh-hant:衛定公; zh-hk:衞定公,Ve Dinh cong
68a8dd37ff0fa456770b9abe,ast:Quý tôn Ý Như; es:Quý tôn Ý Như; nl:Quý tôn Ý Như; vi:Quý tôn Ý Như; wuu:季平子; zh-hans:季平子; zh-hant:季平子; zh-hk:季平子,Quy ton Y Nhu
68a8dd37ff0fa456770b9ac3,ko:채 문후; lzh:蔡文侯; vi:Sái Văn hầu,Sai Van hau
68a8dd37ff0fa456770b9ac9,ast:Tào Tuyên công; lzh:曹宣公; nl:Tào Tuyên công; vi:Tào Tuyên công; zh-hans:曹宣公; zh-hant:曹宣公; zh-hk:曹宣公,Tao Tuyen cong
68a8dd37ff0fa456770b9b14,ast:Vệ Thương công; lzh:衛殤公; nl:Vệ Thương công; vi:Vệ Thương công; zh-hans:卫殇公; zh-hant:衛殤公; zh-hk:衞殤公,Ve Thuong cong
68a8dd37ff0fa456770b9b1b,ast:Vệ Hiến công; lzh:衛獻公; nl:Vệ Hiến công; vi:Vệ Hiến công; zh-hans:卫献公; zh-hant:衛獻公; zh-hk:衞獻公,Ve Hien cong
68a8dd37ff0fa456770b9b27,ast:Hồ Xạ Cô; es:Hồ Xạ Cô; nl:Hồ Xạ Cô; vi:Hồ Xạ Cô; zh-hans:狐射姑; zh-hant:狐射姑; zh-hk:狐射姑,Ho Xa Co
68a8dd37ff0fa456770b9b34,ast:Lỗ Dã; ko:자야; lzh:子野; nan:Chú-iá; nl:Lỗ Dã; vi:Lỗ Dã; yue:子野; zh-hans:子野; zh-hant:子野; zh-hk:子野,Lo Da
68a8dd37ff0fa456770b9b49,ast:Quý tôn Tư; ko:계손사; nl:Quý tôn Tư; vi:Quý tôn Tư; zh-hans:季桓子; zh-hant:季桓子; zh-hk:季桓子,Quy ton Tu
68a8dd37ff0fa456770b9b4b,ko:채 경후; lzh:蔡景侯; vi:Sái Cảnh hầu,Sai Canh hau
68a8dd37ff0fa456770b9b4c,ast:Tào Thành công; lzh:曹成公; nl:Tào Thành công; vi:Tào Thành công; zh-hans:曹成公; zh-hant:曹成公; zh-hk:曹成公,Tao Thanh cong
68a8dd37ff0fa456770b9b6f,vi:Liên Doãn Tương Lão,Lien Doan Tuong Lao
68a8dd37ff0fa456770b9b70,ast:Trần Chinh Thư; ko:하징서; lzh:夏徵舒; nl:Trần Chinh Thư; vi:Trần Chinh Thư; zh-hans:夏征舒; zh-hant:夏征舒; zh-hk:夏征舒,Tran Chinh Thu
68a8dd37ff0fa456770b9b79,ast:Vệ Tương công; lzh:衛襄公; nl:Vệ Tương công; vi:Vệ Tương công; zh-hans:卫襄公; zh-hant:衛襄公; zh-hk:衞襄公,Ve Tuong cong
68a8dd37ff0fa456770b9b9f,ast:Quý tôn Phì; es:Quý tôn Phì; nl:Quý tôn Phì; vi:Quý tôn Phì; zh-hans:季康子; zh-hant:季康子; zh-hk:季康子,Quy ton Phi
68a8dd37ff0fa456770b9ba1,ko:채 영후; lzh:蔡靈侯; vi:Sái Linh hầu,Sai Linh hau
68a8dd37ff0fa456770b9ba2,ast:Tào Vũ công; lzh:曹武公; nl:Tào Vũ công; vi:Tào Vũ công; zh-hans:曹武公; zh-hant:曹武公; zh-hk:曹武公,Tao Vu cong
68a8dd37ff0fa456770b9bb4,ast:Hàn Tu; es:Hàn Tu; lzh:韓貞子; nl:Hàn Tu; vi:Hàn Tu; zh-hans:韩须; zh-hant:韓須; zh-hk:韓須,Han Tu
68a8dd37ff0fa456770b9be4,ru:Акинори Сиба,Akinori Siba
68a8dd37ff0fa456770b9bf0,ru:дочь Кёгоку Такамицу,doch Kyogoku Takamitsu
68a8dd37ff0fa456770b9bf2,ru:Акамацу Акинори,Akamatsu Akinori
68a8dd37ff0fa456770b9bf5,ru:Акамацу Ёринори,Akamatsu Yorinori
68a8dd37ff0fa456770b9bf7,ru:Хосокава Мицумото,Khosokava Mitsumoto
68a8dd37ff0fa456770b9bf9,ru:Хосокава Мицукуни,Khosokava Mitsukuni
68a8dd37ff0fa456770b9c11,zh-hans:鲁悼公; zh-hant:魯悼公; zh-hk:魯悼公; vi:Lỗ Điệu công; ko:노 도공; nan:Ló͘ Tō-kong; nl:Lỗ Điệu công; ast:Lỗ Điệu công; yue:魯悼公; lzh:魯悼公,Lo Dieu cong
68a8dd37ff0fa456770b9c18,ru:Тадасукэ Сёни; ko:쇼니 다다스케,Tadasuke Syoni
68a8dd37ff0fa456770b9c22,zh-hans:公子起; zh-hant:公子起; zh-hk:公子起; vi:Vệ Khởi; nl:Vệ Khởi; ast:Vệ Khởi; lzh:公子起,Ve Khoi
68a8dd37ff0fa456770b9c62,zh-hans:郑简公; zh-hant:鄭簡公; zh-hk:鄭簡公; vi:Trịnh Giản công; ko:정 간공; nl:Trịnh Giản công; ast:Trịnh Giản công; lzh:鄭簡公,Trinh Gian cong
68a8dd37ff0fa456770b9c68,fa:سنا نوبوترو,Sena Nobuteru
68a8dd37ff0fa456770b9c77,vi:Triệu Đồng,Trieu Dong
68a8dd37ff0fa456770b9c79,zh-hans:赵括; zh-hant:趙括; zh-hk:趙括; vi:Triệu Quát; nl:Triệu Quát; ast:Triệu Quát,Trieu Quat
68a8dd37ff0fa456770b9caf,ru:Саданака Оойси,Sadanaka Ooysi
68a8dd37ff0fa456770b9cc3,ko:채 소후; vi:Sái Chiêu hầu; lzh:蔡昭侯,Sai Chieu hau
68a8dd37ff0fa456770b9cc5,vi:Sái Điệu hầu; ko:채 도후; lzh:蔡悼侯,Sai Dieu hau
68a8dd37ff0fa456770b9cc7,vi:Sái Bình hầu; ko:채 평후; lzh:蔡平侯,Sai Binh hau
68a8dd37ff0fa456770b9cd5,vi:Hàn Canh; lzh:韓莊子,Han Canh
68a8dd37ff0fa456770b9ce7,zh-hans:郑定公; zh-hant:鄭定公; zh-hk:鄭定公; vi:Trịnh Định công; ko:정 정공; nl:Trịnh Định công; ast:Trịnh Định công; lzh:鄭定公,Trinh Dinh cong

68a8dd37ff0fa456770b9cfe,cs:Ťiang-tu; ast:princezna Ťiang-tu; nb:江都公主,Tiang-tu
68a8dd37ff0fa456770b9d33,cs:daughter Sadatakeho Hiraie,daughter Sadatakeho Hiraie
68a8dd37ff0fa456770b9d4f,cs:daughter Udžinagy Narity,daughter Udzinagy Narity
68a8dd37ff0fa456770b9d6b,cs:Šóhime Maeda; zh-hk:前田簫姫; zh-hant:前田簫姫,Sohime Maeda
68a8dd37ff0fa456770b9d6c,nb:陈丽妃; da:Chen Lifei,Chen Lifei
68a8dd37ff0fa456770b9d75,nb:张贵妃; da:Zhang Guifei,Zhang Guifei
68a8dd37ff0fa456770b9d8c,cs:HIdenori Ukita,HIdenori Ukita
68a8dd37ff0fa456770b9d8e,cs:Sadahime Ukita,Sadahime Ukita
68a8dd37ff0fa456770b9d90,cs:Tošihime Ukita,Tosihime Ukita
68a8dd37ff0fa456770b9d93,cs:Onagu Ukita,Onagu Ukita
68a8dd37ff0fa456770b9d94,ru:наложница Ли,nalozhnitsa Li
68a8dd37ff0fa456770b9db4,cs:Te-čching; ast:princezna Te-čching; nb:德庆公主,Te-cching
68a8dd37ff0fa456770b9dce,zh-hans:鲁穆公; zh-hant:魯穆公; zh-hk:魯穆公; vi:Lỗ Mục công; nan:Ló͘ Bo̍k-kong; nl:Lỗ Mục công; ko:노 목공; ast:Lỗ Mục công; yue:魯穆公; lzh:魯穆公,Lo Muc cong
68a8dd37ff0fa456770b9dd4,cs:Nakaneši,Nakanesi
68a8dd37ff0fa456770b9dde,vi:Sái Thành hầu; ko:채 성후; lzh:蔡成侯,Sai Thanh hau
68a8dd37ff0fa456770b9df3,vi:Hàn Khang tử; lzh:韓康子; wuu:韩康子,Han Khang tu
68a8dd37ff0fa456770b9e0e,zh-hans:赵桓子; zh-hant:趙桓子; zh-hk:趙桓子; vi:Triệu Gia; nan:Tiō Hoân-chú; nl:Triệu Gia; ast:Triệu Gia; lzh:趙桓子,Trieu Gia
68a8dd37ff0fa456770b9e38,fa:هاسهگاوا فوجیهیرو,Hasegawa Fujihiro
68a8dd37ff0fa456770b9e39,zh-tw:李淑妃; zh-hk:李淑妃; zh-hant:李淑妃; zh-hans:李淑妃; zh-cn:李淑妃; lzh:李淑妃; nb:李淑妃; ko:숙비 이씨,Li Shu Fei
68a8dd38ff0fa456770b9f2f,fa:شیبا یوشیهیرو,Shiba Yoshihiro
68a8dd38ff0fa456770b9f3a,fa:اینابا میچینوری,Inaba Michinori
68a8dd38ff0fa456770b9f59,cs:daughter Micuhideho Akečiho; ast:daughter Micuhideho Akečiho,daughter Micuhideho Akeciho
68a8dd38ff0fa456770b9f5b,cs:druhá daughter Micuhideho Akečiho,druha daughter Micuhideho Akeciho
68a8dd38ff0fa456770b9f60,cs:Genrin,Genrin
68a8dd38ff0fa456770b9f61,vi:Sái Thanh hầu; ko:채 성후; lzh:蔡聲侯,Sai Thanh hau
68a8dd38ff0fa456770b9f62,fa:نانگوکو بانکی; cs:Bonkei Nangoku,Bonkei Nangoku
68a8dd38ff0fa456770b9f66,zh-hans:韩武子; zh-hant:韓武子; zh-hk:韓武子; lzh:韓武子啟章; vi:Hàn Khải Chương; nl:Hàn Khải Chương; ast:Hàn Khải Chương; es:Hàn Khải Chương,Han Khai Chuong
68a8dd38ff0fa456770b9f6d,zh-hans:郑声公; zh-hant:鄭聲公; zh-hk:鄭聲公; vi:Trịnh Thanh công; ko:정 성공; nl:Trịnh Thanh công; ast:Trịnh Thanh công; lzh:鄭聲公,Trinh Thanh cong
68a8dd38ff0fa456770b9f78,zh-hans:陈成公; zh-hant:陳成公; zh-hk:陳成公; vi:Trần Thành công; nan:Tân Sêng-kong; nl:Trần Thành công; ast:Trần Thành công; lzh:陳成公,Tran Thanh cong
68a8dd38ff0fa456770b9f91,th:โซ่วชุนอ๋อง,ochwchun``ng
68a8dd38ff0fa456770b9fa5,vi:Quách Sơn Phủ,Quach Son Phu
68a8dd38ff0fa456770b9ffc,ru:Сукэцуна Янагивара,Suketsuna Yanagivara
68a8dd38ff0fa456770ba047,cs:Masazumi Kusunoki,Masazumi Kusunoki
68a8dd38ff0fa456770ba05a,cs:princezna I-sing; ast:princezna I-sing; nb:宜兴公主,princezna I-sing
68a8dd38ff0fa456770ba06d,cs:Ču Ťien-š’; ast:Ču Ťien-š’; nb:朱见湜,Cu Tien-s'
68a8dd38ff0fa456770ba074,nb:唐皇贵妃; vi:Hoàng quý phi Đường thị,Hoang quy phi Duong thi
68a8dd38ff0fa456770ba0b7,vi:Công Tôn Triều (nước Sở),Cong Ton Trieu (nuoc So)
68a8dd38ff0fa456770ba0ca,zh-hans:鲁康公; zh-hant:魯康公; zh-hk:魯康公; vi:Lỗ Khang công; nan:Ló͘ Khong-kong; nl:Lỗ Khang công; ast:Lỗ Khang công; yue:魯康公; lzh:魯康公,Lo Khang cong
68a8dd38ff0fa456770ba0d3,vi:Sái Nguyên hầu; ko:채 원후; lzh:蔡元侯,Sai Nguyen hau
68a8dd38ff0fa456770ba0eb,zh-hans:郑康公; zh-hant:鄭康公; zh-hk:鄭康公; vi:Trịnh Khang công; ko:정 강공; nl:Trịnh Khang công; ast:Trịnh Khang công; lzh:鄭康公,Trinh Khang cong
68a8dd38ff0fa456770ba0ed,zh-hans:郑幽公; zh-hant:鄭幽公; zh-hk:鄭幽公; vi:Trịnh U công; ko:정 유공; nl:Trịnh U công; ast:Trịnh U công; lzh:鄭幽公,Trinh U cong
68a8dd38ff0fa456770ba0f4,vi:Điền Văn Tử; lzh:陳文子,Dien Van Tu
68a8dd38ff0fa456770ba0f6,zh-hans:陈哀公; zh-hant:陳哀公; zh-hk:陳哀公; vi:Trần Ai công; nan:Tân Ai-kong; nl:Trần Ai công; ast:Trần Ai công; lzh:陳哀公,Tran Ai cong
68a8dd38ff0fa456770ba104,zh-hans:赵武公; zh-hant:趙武公; zh-hk:趙武公; vi:Triệu Vũ hầu; nan:Tiō Bú-kong; ko:조 무공; nl:Triệu Vũ hầu; ast:Triệu Vũ hầu; lzh:趙武公,Trieu Vu hau
68a8dd38ff0fa456770ba12c,vi:Quách Kĩ,Quach Ki
68a8dd38ff0fa456770ba157,ru:Годзё Тамэмунэ,Godzyo Tamemune
68a8dd38ff0fa456770ba1db,vi:Trinh Tĩnh Kính phi,Trinh Tinh Kinh phi
68a8dd38ff0fa456770ba1fc,uk:Уесуґі Томойосі,Uesug'i Tomoiosi
68a8dd38ff0fa456770ba221,uk:Уесуґі Норіфуса; zh-hk:上杉憲房; zh-hant:上杉憲房; fa:اوئهسوگی نوریفوسا (دوره سنگوکو),Uesugi Norifusa
68a8dd38ff0fa456770ba231,cs:daughter Takakageho Asakury,daughter Takakageho Asakury
68a8dd38ff0fa456770ba29b,cs:daughter Tomočiky Makiho,daughter Tomociky Makiho
68a8dd38ff0fa456770ba29e,ru:Акамацу Мицунори,Akamatsu Mitsunori
68a8dd38ff0fa456770ba2ab,zh-hans:鲁景公; zh-hant:魯景公; zh-hk:魯景公; vi:Lỗ Cảnh công; nan:Ló͘ Kéng-kong; nl:Lỗ Cảnh công; ast:Lỗ Cảnh công; yue:魯景公; lzh:魯景公,Lo Canh cong
68a8dd38ff0fa456770ba2da,zh-hans:郑𦈡公; zh-hant:鄭繻公; zh-hk:鄭繻公; vi:Trịnh Nhu công; ko:정 수공; nl:Trịnh Nhu công; ast:Trịnh Nhu công; lzh:鄭繻公,Trinh Nhu cong
68a8dd38ff0fa456770ba2e4,zh-hans:田桓子; zh-hant:田桓子; zh-hk:田桓子; vi:Điền Vô Vũ; nl:Điền Vô Vũ; ast:Điền Vô Vũ; es:Điền Vô Vũ; lzh:陳桓子,Dien Vo Vu
68a8dd38ff0fa456770ba314,th:เจ้าหญิงชิ่งเฉิง,ecchaahyingchingeching
68a8dd38ff0fa456770ba32a,cs:adoptovaná daughter Sóuna Hódžóa,adoptovana daughter Souna Hodzoa
68a8dd38ff0fa456770ba33b,ru:Ота Сукэмото,Ota Sukemoto
68a8dd38ff0fa456770ba345,nb:Ōta Shigemasas datter,Ota Shigemasa's daughter
68a8dd38ff0fa456770ba378,ru:леди Такеда,Ledi Takeda
68a8dd38ff0fa456770ba404,cs:Tokuhime Uesugi,Tokuhime Uesugi
68a8dd38ff0fa456770ba40c,zh-hk:上杉龜姫; zh-hant:上杉龜姫; cs:Kamehime Uesugi,Kamehime Uesugi
68a8dd38ff0fa456770ba43f,cs:daughter Nobucuny Nakamikada,daughter of Nobucuny Nakamikada
68a8dd38ff0fa456770ba4bf,ru:Мориумэ,Moriume
68a8dd38ff0fa456770ba4d0,cs:daughter Iekijoa Macudairy,daughter Iekijoa Macudairy
68a8dd38ff0fa456770ba4d7,cs:Ganšóin,Gansoin
68a8dd38ff0fa456770ba4de,cs:daughter Mičikacua Ody,daughter Micikacua Ody
68a8dd38ff0fa456770ba4e1,cs:daughter Tošinobua Ody,daughter Tosinobua Ody
