cycle_len	chain_qids	cut_parent	cut_child	reason	confidence
33	Q79510 -> Q79582 -> Q79663 -> Q79863 -> Q80223 -> Q80606 -> Q81339 -> Q82122 -> Q99597 -> Q99585 -> Q99573 -> Q99558 -> Q99544 -> Q79087 -> Q79099 -> Q79108 -> Q79117 -> Q79126 -> Q79135 -> Q79147 -> Q79168 -> Q79192 -> Q79220 -> Q79241 -> Q79262 -> Q79286 -> Q79334 -> Q79364 -> Q79391 -> Q79415 -> Q79435 -> Q79441 -> Q79468 -> Q79510	Q82122 (Barbara, imperatriz of Rome)	Q99597 (Bárbara, Princess of Rome)	homonym_adjacent: endpoints share part of a name but not all of it (77% similar: 'Barbara, imperatriz of Rome' / 'Bárbara, Princess of Rome'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error | and the two records share a spouse (Romulus Augustulus,The Last Emperor of Rome), which is what a duplicated person looks like rather than corroboration [this edge appears in 7 of the 71 listed cycles]	low
47	Q79424 -> Q79450 -> Q79480 -> Q79537 -> Q79618 -> Q99939 -> Q100154 -> Q100519 -> Q101113 -> Q113625 -> Q79385 -> Q79409 -> Q79429 -> Q79459 -> Q79495 -> Q79510 -> Q79582 -> Q79663 -> Q79863 -> Q80223 -> Q80606 -> Q81339 -> Q82122 -> Q99597 -> Q99585 -> Q99573 -> Q99558 -> Q99544 -> Q79087 -> Q79099 -> Q79108 -> Q79117 -> Q79126 -> Q79135 -> Q79147 -> Q79168 -> Q79192 -> Q79220 -> Q79241 -> Q79262 -> Q79286 -> Q79334 -> Q79364 -> Q79391 -> Q79415 -> Q79435 -> Q79438 -> Q79424	Q82122 (Barbara, imperatriz of Rome)	Q99597 (Bárbara, Princess of Rome)	homonym_adjacent: endpoints share part of a name but not all of it (77% similar: 'Barbara, imperatriz of Rome' / 'Bárbara, Princess of Rome'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error | and the two records share a spouse (Romulus Augustulus,The Last Emperor of Rome), which is what a duplicated person looks like rather than corroboration [this edge appears in 7 of the 71 listed cycles]	low
33	Q79385 -> Q79409 -> Q79429 -> Q79459 -> Q79495 -> Q79510 -> Q79582 -> Q79663 -> Q79863 -> Q80223 -> Q80606 -> Q81339 -> Q82122 -> Q99597 -> Q99585 -> Q99573 -> Q99558 -> Q99544 -> Q79087 -> Q79099 -> Q79108 -> Q79117 -> Q79126 -> Q79135 -> Q79147 -> Q79168 -> Q79192 -> Q79220 -> Q79241 -> Q79262 -> Q79286 -> Q79331 -> Q79361 -> Q79385	Q82122 (Barbara, imperatriz of Rome)	Q99597 (Bárbara, Princess of Rome)	homonym_adjacent: endpoints share part of a name but not all of it (77% similar: 'Barbara, imperatriz of Rome' / 'Bárbara, Princess of Rome'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error | and the two records share a spouse (Romulus Augustulus,The Last Emperor of Rome), which is what a duplicated person looks like rather than corroboration [this edge appears in 7 of the 71 listed cycles]	low
48	Q79162 -> Q79186 -> Q79205 -> Q79229 -> Q79250 -> Q79277 -> Q79295 -> Q79313 -> Q79358 -> Q79370 -> Q79406 -> Q79400 -> Q79424 -> Q79450 -> Q79480 -> Q79537 -> Q79618 -> Q99939 -> Q100154 -> Q100519 -> Q101113 -> Q113625 -> Q79385 -> Q79409 -> Q79429 -> Q79459 -> Q79495 -> Q79510 -> Q79582 -> Q79663 -> Q79863 -> Q80223 -> Q80606 -> Q81339 -> Q82122 -> Q99597 -> Q99585 -> Q99573 -> Q99558 -> Q99544 -> Q79087 -> Q79099 -> Q79108 -> Q79117 -> Q79126 -> Q79138 -> Q79153 -> Q79174 -> Q79162	Q82122 (Barbara, imperatriz of Rome)	Q99597 (Bárbara, Princess of Rome)	homonym_adjacent: endpoints share part of a name but not all of it (77% similar: 'Barbara, imperatriz of Rome' / 'Bárbara, Princess of Rome'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error | and the two records share a spouse (Romulus Augustulus,The Last Emperor of Rome), which is what a duplicated person looks like rather than corroboration [this edge appears in 7 of the 71 listed cycles]	low
5	Q75522 -> Q75516 -> Q75603 -> Q75576 -> Q75540 -> Q75522			unresolved: no evidence separates the 5 edges in this cycle: none contradicted by dates, none reversed by patronymic, and sourcing is even across the chain. Cutting any edge here would be a guess.	unresolved
4	Q118732 -> Q136091 -> Q135856 -> Q123845 -> Q118732	Q118732 (Olaf Geirstad-Alf)	Q136091 (Gandalf Alfgeirsson)	date_bounded: Olaf Geirstad-Alf born no earlier than 725 (from Halfdan the Mild b.+0701, 2 generation(s) up); Gandalf Alfgeirsson born no later than 705 (from Gandalf Alfgeirsson, 0 generation(s) down)	medium
16	Q75781 -> Q75694 -> Q75634 -> Q75573 -> Q75543 -> Q75522 -> Q75516 -> Q75603 -> Q75558 -> Q65002 -> Q64169 -> Q63517 -> Q62926 -> Q62515 -> Q75817 -> Q75721 -> Q75781			unresolved: no evidence separates the 16 edges in this cycle: none contradicted by dates, none reversed by patronymic, and sourcing is even across the chain. Cutting any edge here would be a guess.	unresolved
4	Q75516 -> Q75603 -> Q75558 -> Q65002 -> Q75516	Q75603 (Demetrias)	Q75558 (Clodia Celsina)	sourcing_weakest: no date, patronymic or co-parent signal contradicts any edge; this edge is the only one whose endpoints carry no external identifier (sourcing score 8 vs next-worst 11) [this edge appears in 2 of the 71 listed cycles]	low
2	Q89697 -> Q89935 -> Q89697			unresolved: 2-node cycle (Tzemach <-> Shlomo Duran) — mutual parenthood is impossible, but labels are only 21% similar and no date, patronymic or sourcing signal separates the two directions. Needs a human reading of the two records.	unresolved
3	Q3457 -> Q31038 -> Q32086 -> Q3457	Q3457 (Miguel de Cervantes)	Q31038 (Juan de Cervantes)	date_direct: recorded birth 1547 (Miguel de Cervantes) is not before recorded birth 1477 (Juan de Cervantes) | Miguel de Cervantes born no earlier than 1547 (from Miguel de Cervantes b.+1547, 0 generation(s) up); Juan de Cervantes born no later than 1477 (from Juan de Cervantes, 0 generation(s) down) | endpoints share part of a name but not all of it (78% similar: 'Miguel de Cervantes' / 'Juan de Cervantes'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error | and the two records share a spouse (Catalina de Cabrera), which is what a duplicated person looks like rather than corroboration	high
2	Q88380 -> Q88454 -> Q88380			unresolved: 2-node cycle (Esther bat Yosef ben 'Amram haDayyan al-Sijilmasa <-> Esther bat Sahlan ben Abraham) — mutual parenthood is impossible, but labels are only 49% similar and no date, patronymic or sourcing signal separates the two directions. Needs a human reading of the two records.	unresolved
2	Q88454 -> Q90982 -> Q88454	Q88454 (Esther bat Sahlan ben Abraham)	Q90982 (Esther bat Yosef ben 'Amram haDayyan al-Sijilma)	duplicate_pair: 2-node cycle, labels 61% identical (Esther bat Sahlan ben Abraham / Esther bat Yosef ben 'Amram haDayyan al-Sijilma): a merge artifact — these are one person duplicated, not two people. Proposed action is a MERGE; the cut edge named here is the worse-sourced direction	medium
5	Q85500 -> Q85578 -> Q85554 -> Q85528 -> Q85514 -> Q85500			unresolved: no evidence separates the 5 edges in this cycle: none contradicted by dates, none reversed by patronymic, and sourcing is even across the chain. Cutting any edge here would be a guess.	unresolved
22	Q61957 -> Q61565 -> Q136506 -> Q73308 -> Q73140 -> Q72966 -> Q72807 -> Q72633 -> Q72451 -> Q72266 -> Q70970 -> Q139746 -> Q70340 -> Q69263 -> Q67573 -> Q66488 -> Q65258 -> Q64483 -> Q63747 -> Q63192 -> Q62704 -> Q62255 -> Q61957	Q72807 (Publius Mucius Scaevola)	Q72633 (Publius Mucius Scaevola)	duplicate_adjacent: endpoints carry the IDENTICAL name ('Publius Mucius Scaevola') — the data makes a person the parent of their own duplicate. Proposed action is a MERGE of the two records; cutting this edge is the minimal fix | recorded birth 300 (Publius Mucius Scaevola) is not before recorded birth 180 (Publius Mucius Scaevola) — BUT the parent's year is recorded as a small positive number, which in this dump usually means an unsigned BC date. Read as BC the order is fine, so this may be a mis-signed DATE rather than a bad EDGE. Check the date first; do not cut on this alone | Publius Mucius Scaevola born no earlier than 300 (from Publius Mucius Scaevola b.+0300, 0 generation(s) up); Publius Mucius Scaevola born no later than 180 (from Publius Mucius Scaevola, 0 generation(s) down) — BUT one of these anchors is a small positive year or the two straddle year 0, which in this dump usually means an unsigned BC date. The bound may be an artifact of the sign, not a real contradiction | and the two records share a spouse (Licinia), which is what a duplicated person looks like rather than corroboration	high
3	Q76693 -> Q77155 -> Q76933 -> Q76693	Q77155 (Sergius Ovtavius Laenes)	Q76933 (Sergius Octavius Pontainus)	homonym_adjacent: endpoints share part of a name but not all of it (78% similar: 'Sergius Ovtavius Laenes' / 'Sergius Octavius Pontainus'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error	low
3	Q141474 -> Q72972 -> Q72810 -> Q141474	Q141474 (Publius Licinius Crassus Dives Mucianus)	Q72972 (Publius Licinius Crassus Dives)	homonym_adjacent: endpoints share part of a name but not all of it (87% similar: 'Publius Licinius Crassus Dives Mucianus' / 'Publius Licinius Crassus Dives'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error | Publius Licinius Crassus Dives Mucianus born no earlier than 312 (from Publius Mucius Scaevola b.+0300, 1 generation(s) up); Publius Licinius Crassus Dives born no later than 126 (from Marcus Licinius Crassus, 2 generation(s) down) — BUT one of these anchors is a small positive year or the two straddle year 0, which in this dump usually means an unsigned BC date. The bound may be an artifact of the sign, not a real contradiction | and the two records share a spouse (Clodia), which is what a duplicated person looks like rather than corroboration	low
2	Q64636 -> Q64639 -> Q64636			unresolved: 2-node cycle (Qilabah Su'ayd bin Sa'ad <-> Halah 'Abd al-Manaf) — mutual parenthood is impossible, but labels are only 47% similar and no date, patronymic or sourcing signal separates the two directions. Needs a human reading of the two records.	unresolved
6	Q85578 -> Q85554 -> Q85528 -> Q85514 -> Q85498 -> Q85478 -> Q85578			unresolved: no evidence separates the 6 edges in this cycle: none contradicted by dates, none reversed by patronymic, and sourcing is even across the chain. Cutting any edge here would be a guess.	unresolved
3	Q73383 -> Q73644 -> Q73518 -> Q73383	Q73383 (Lucius Junius Brutus)	Q73644 (C. Junius Brutus)	homonym_adjacent: endpoints share part of a name but not all of it (83% similar: 'Lucius Junius Brutus' / 'C. Junius Brutus'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error	low
4	Q78264 -> Q78108 -> Q77955 -> Q77782 -> Q78264	Q78108 (Lucius Pinarius Scarpus)	Q77955 (Lucius Pinarius Scarpus)	duplicate_adjacent: endpoints carry the IDENTICAL name ('Lucius Pinarius Scarpus') — the data makes a person the parent of their own duplicate. Proposed action is a MERGE of the two records; cutting this edge is the minimal fix	high
3	Q73119 -> Q72951 -> Q73284 -> Q73119	Q73119 (Marcus Livius Drusus)	Q72951 (Gaius Livius Drusus)	homonym_adjacent: endpoints share part of a name but not all of it (87% similar: 'Marcus Livius Drusus' / 'Gaius Livius Drusus'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error | Marcus Livius Drusus born no earlier than 324 (from Marcus Livius Salinator b.+0300, 2 generation(s) up); Gaius Livius Drusus born no later than 126 (from Publius Rutilius Nudus, 2 generation(s) down) — BUT one of these anchors is a small positive year or the two straddle year 0, which in this dump usually means an unsigned BC date. The bound may be an artifact of the sign, not a real contradiction [this edge appears in 2 of the 71 listed cycles]	low
3	Q73119 -> Q72951 -> Q72798 -> Q73119	Q72798 (Marcus Livius Drusus)	Q73119 (Marcus Livius Drusus)	duplicate_adjacent: endpoints carry the IDENTICAL name ('Marcus Livius Drusus') — the data makes a person the parent of their own duplicate. Proposed action is a MERGE of the two records; cutting this edge is the minimal fix | recorded birth 155 (Marcus Livius Drusus) is not before recorded birth 124 (Marcus Livius Drusus) — BUT the parent's year is recorded as a small positive number, which in this dump usually means an unsigned BC date. Read as BC the order is fine, so this may be a mis-signed DATE rather than a bad EDGE. Check the date first; do not cut on this alone | Marcus Livius Drusus born no earlier than 155 (from Marcus Livius Drusus b.+0155, 0 generation(s) up); Marcus Livius Drusus born no later than 2 (from Nero Claudius Drusus, 3 generation(s) down) — BUT one of these anchors is a small positive year or the two straddle year 0, which in this dump usually means an unsigned BC date. The bound may be an artifact of the sign, not a real contradiction | and the two records share a spouse (Cornelia), which is what a duplicated person looks like rather than corroboration	high
12	Q72786 -> Q72615 -> Q72434 -> Q73893 -> Q73794 -> Q73692 -> Q73569 -> Q73446 -> Q73299 -> Q99368 -> Q72957 -> Q72801 -> Q72786	Q73692 (Lucius Cornelius Scipio Barbatus)	Q73569 (Lucius Cornelius Scipio)	homonym_adjacent: endpoints share part of a name but not all of it (84% similar: 'Lucius Cornelius Scipio Barbatus' / 'Lucius Cornelius Scipio'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error | recorded birth 400 (Lucius Cornelius Scipio Barbatus) is not before recorded birth 306 (Lucius Cornelius Scipio) — BUT the parent's year is recorded as a small positive number, which in this dump usually means an unsigned BC date. Read as BC the order is fine, so this may be a mis-signed DATE rather than a bad EDGE. Check the date first; do not cut on this alone | Lucius Cornelius Scipio Barbatus born no earlier than 400 (from Lucius Cornelius Scipio Barbatus b.+0400, 0 generation(s) up); Lucius Cornelius Scipio born no later than 164 (from Gnaeus Cornelius Scipio Hispanus, 3 generation(s) down) — BUT one of these anchors is a small positive year or the two straddle year 0, which in this dump usually means an unsigned BC date. The bound may be an artifact of the sign, not a real contradiction | and the two records share a spouse (NN (Wife of Lucius Cornelius Scipio Barbatus)), which is what a duplicated person looks like rather than corroboration	low
4	Q161658 -> Q161777 -> Q161966 -> Q162275 -> Q161658			unresolved: no evidence separates the 4 edges in this cycle: none contradicted by dates, none reversed by patronymic, and sourcing is even across the chain. Cutting any edge here would be a guess.	unresolved
6	Q138363 -> Q138365 -> Q148022 -> Q144020 -> Q141360 -> Q139511 -> Q138363	Q138365 (Tiberius Julius Cotys I)	Q148022 (Rhescuporis I)	date_bounded_ambiguous_era: Tiberius Julius Cotys I born no earlier than 134 (from Asander b.+0110, 2 generation(s) up); Rhescuporis I born no later than 100 (from Rhescuporis I, 0 generation(s) down) — BUT one of these anchors is a small positive year or the two straddle year 0, which in this dump usually means an unsigned BC date. The bound may be an artifact of the sign, not a real contradiction; NOTE 1 other edge(s) in this cycle carry equally strong evidence — cut chosen by cross-cycle frequency	low
7	Q137384 -> Q137899 -> Q137320 -> Q137449 -> Q136996 -> Q137385 -> Q136958 -> Q137384	Q137385 (Ednyfed ab Iorwerth Hir ap Llywarch Gam of Crick)	Q136958 (Elen ferch Ednyfed ab Iorwerth Hir ap Llywarch Gam)	homonym_adjacent: endpoints share part of a name but not all of it (80% similar: 'Ednyfed ab Iorwerth Hir ap Llywarch Gam of Crick' / 'Elen ferch Ednyfed ab Iorwerth Hir ap Llywarch Gam'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error	low
7	Q137878 -> Q137383 -> Q136957 -> Q137384 -> Q137899 -> Q137320 -> Q137900 -> Q137878	Q136957 (Meurig ab Ynyr Gwent)	Q137384 (Ynyr, lord of Gwent)	patronymic_reversal: parent's own patronymic (Meurig ab Ynyr Gwent) names the child as ITS father; edge points the wrong way	high
4	Q135406 -> Q135539 -> Q4617 -> Q4626 -> Q135406	Q135406 (Jehoiakim)	Q135539 (Jeconiah)	date_direct: recorded birth 634 (Jehoiakim) is not before recorded birth 616 (Jeconiah) | Jehoiakim born no earlier than 745 (from Manasseh of Judah b.+0709, 3 generation(s) up); Jeconiah born no later than 529 (from Shealtiel, 1 generation(s) down) [this edge appears in 2 of the 71 listed cycles]	high
4	Q135406 -> Q135539 -> Q4617 -> Q60222 -> Q135406	Q135406 (Jehoiakim)	Q135539 (Jeconiah)	date_direct: recorded birth 634 (Jehoiakim) is not before recorded birth 616 (Jeconiah) | Jehoiakim born no earlier than 745 (from Manasseh of Judah b.+0709, 3 generation(s) up); Jeconiah born no later than 529 (from Shealtiel, 1 generation(s) down) [this edge appears in 2 of the 71 listed cycles]	high
11	Q2035 -> Q153444 -> Q153438 -> Q153429 -> Q1989 -> Q1978 -> Q49707 -> Q49634 -> Q153390 -> Q153381 -> Q1991 -> Q2035			unresolved: no evidence separates the 11 edges in this cycle: none contradicted by dates, none reversed by patronymic, and sourcing is even across the chain. Cutting any edge here would be a guess.	unresolved
12	Q153465 -> Q153460 -> Q2035 -> Q153444 -> Q153438 -> Q153429 -> Q1989 -> Q1978 -> Q49707 -> Q49634 -> Q153390 -> Q153381 -> Q153465	Q153381 (Aditi Kashyapa)	Q153465 (TVASTAR Kashyapa)	homonym_adjacent: endpoints share part of a name but not all of it (73% similar: 'Aditi Kashyapa' / 'TVASTAR Kashyapa'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error | and the two records share a spouse (Kashyapa), which is what a duplicated person looks like rather than corroboration	low
2	Q78402 -> Q78719 -> Q78402	Q78402 (Q78402)	Q78719 (Cleopatra III of Egypt)	date_bounded_ambiguous_era: Q78402 born no earlier than 336 (from Laodice III b.+0300, 3 generation(s) up); Cleopatra III of Egypt born no later than -161 (from Cleopatra III of Egypt, 0 generation(s) down) — BUT one of these anchors is a small positive year or the two straddle year 0, which in this dump usually means an unsigned BC date. The bound may be an artifact of the sign, not a real contradiction; NOTE 1 other edge(s) in this cycle carry equally strong evidence — cut chosen by cross-cycle frequency	low
5	Q75123 -> Q132251 -> Q132367 -> Q131896 -> Q131902 -> Q75123			unresolved: no evidence separates the 5 edges in this cycle: none contradicted by dates, none reversed by patronymic, and sourcing is even across the chain. Cutting any edge here would be a guess.	unresolved
2	Q23888 -> Q47737 -> Q23888	Q47737 (Iwakura Hiromasa)	Q23888 (Uematsu Takamasa)	date_direct: recorded birth 1746 (Iwakura Hiromasa) is not before recorded birth 1705 (Uematsu Takamasa) | Iwakura Hiromasa born no earlier than 1746 (from Iwakura Hiromasa b.+1746, 0 generation(s) up); Uematsu Takamasa born no later than 1705 (from Uematsu Takamasa, 0 generation(s) down)	high
11	Q160615 -> Q160597 -> Q160576 -> Q160560 -> Q160539 -> Q160512 -> Q160489 -> Q160460 -> Q160580 -> Q160673 -> Q160640 -> Q160615			unresolved: no evidence separates the 11 edges in this cycle: none contradicted by dates, none reversed by patronymic, and sourcing is even across the chain. Cutting any edge here would be a guess.	unresolved
2	Q29144 -> Q52713 -> Q29144			unresolved: 2-node cycle (kay uyarsh Raja Iran <-> Q52713) — mutual parenthood is impossible, but labels are only 0% similar and no date, patronymic or sourcing signal separates the two directions. Needs a human reading of the two records.	unresolved
2	Q29144 -> Q29148 -> Q29144	Q29144 (kay uyarsh Raja Iran)	Q29148 (kay pisan Raja Iran)	homonym_adjacent: endpoints share part of a name but not all of it (77% similar: 'kay uyarsh Raja Iran' / 'kay pisan Raja Iran'). Roman families distinguish father from son by cognomen and Welsh ones by patronymic, so these may well be two real people — but a same-family pair inside a cycle is also where Geni merges collapse a generation. VERIFY before cutting; this is the likeliest edge in the cycle, not a proven error; NOTE 1 other edge(s) in this cycle carry equally strong evidence — cut chosen by cross-cycle frequency	low
2	Q29148 -> Q52709 -> Q29148			unresolved: 2-node cycle (kay pisan Raja Iran <-> Q52709) — mutual parenthood is impossible, but labels are only 0% similar and no date, patronymic or sourcing signal separates the two directions. Needs a human reading of the two records.	unresolved
