qid	label	sex	birth	death	gedcom	wikidata_qid	geni_id
Q138	Ochros	Q153718					
Q139	Klepton	Q153718					
Q140	Helios	Q153718					
Q141	Cercus	Q153718					
Q142	Haptophyta	Q153718					
Q143	Centros	Q153718					
Q144	Metaz	Q153718					
Q145	Chytrus	Q153718					
Q146	Aphelides	Q153718					
Q147	Rozellida	Q153718					
Q148	Microsporidia	Q153718					
Q149	Crown	Q153719					
Q150	Chlorovos	Q153718					
Q151	Pyramona	Q153719					
Q152	Okra	Q153719					
Q153	Xanthophyceae	Q153718					
Q154	Chrysa	Q153718					
Q155	Kelpus	Q153718					
Q156	Diatom	Q153718					
Q157	Coralline	Q153719					
Q158	Oomycota	Q153718					
Q159	Actinofer	Q153718					
Q160	Cillofer	Q153718					
Q161	Myzo	Q153718					
Q162	King Rhizarius	Q153718					
Q163	Vamphy	Q153718					
Q164	Sibhozo	Q153718					
Q165	Symbius	Q153718					
Q166	Ashley	Q153719					
Q167	Glomer	Q153718					
Q168	Dikar	Q153718					
Q169	Freyr	Q153718					
Q170	Utico	Q153718					
Q171	Chlorodendrus	Q153718					
Q172	Palmos	Q153718					
Q173	Euglenius	Q153718					
Q174	Euglenita	Q153719					
Q175	Diana	Q153719					
Q176	Malarius	Q153718					
Q177	Radios	Q153718					
Q178	Gromius	Q153718					
Q179	Hexadex	Q153718					
Q180	Clytemnestra	Q153719					
Q181	Entos	Q153718					
Q182	Ascus	Q153718					
Q183	Baston	Q153718					
Q184	Ulvophyceus	Q153718					
Q185	Trebouxes	Q153718					
Q186	Chlorophyceus	Q153718					
Q187	Tetraselma	Q153718					
Q188	Lady Zoe Xanthella	Q153719			Lady Zoe /Xanthella/		
Q189	Acanthar	Q153718					
Q190	Stylon	Q153718					
Q191	Polam	Q153718					
Q192	Polycistina	Q153718					
Q193	Foramer	Q153718					
Q194	Eudorinus	Q153718					
Q195	Polycomb	Q153719					
Q196	Taphrin	Q153718					
Q197	Saccharos	Q153718					
Q198	Baset	Q153718					
Q199	Valonius	Q153718					
Q200	Acetabuler	Q153718					
Q201	Codius	Q153718					
Q202	Lettus	Q153718					
Q203	Cladofer	Q153718					
Q204	Noriko	Q153719					
Q205	Prasiola	Q153719					
Q206	Volvox	Q153718					
Q207	Nival	Q153718					
Q208	Chlorococcus	Q153718			Chlorococcus /bar Chloros/		
Q209	Shield-maidens	Q153719					
Q210	Sexagesmus	Q153718			Sexagesmus /Duke of the city of Metaz/		
Q211	Xenophyophorea	Q153718			Xenophyophorea /Xenophyophorea/		
Q212	Nummulus	Q153718			Nummulus /Nummulus/		
Q213	Auxin	Q153719					
Q214	Knoxy	Q153719					
Q215	Fission	Q153718			Fission /Yeast/		
Q216	Peziz	Q153718					
Q217	Melchizedek	Q153718			Melchizedek /the breadmaker  bakers yeast and relatives/		
Q218	Ortho	Q153718					
Q219	Puccini	Q153718			Puccini /Pucciniomycotina (rusts)/		
Q220	Torasampe	Q153719			Torasampe /bar Chloros/		
Q221	Oophila	Q153719			Oophila /bar Chloros/		
Q222	Pleodoron	Q153718			Pleodoron /Duke of the city of Metaz/		
Q223	Pholon	Q153718					
Q224	Lopez	Q153718					
Q225	Orbillus	Q153718					
Q226	Spherical	Q153718			Spherical /Yeast/		
Q227	Ustella	Q153719			Ustella /Ustilaginomycotina (smuts)/		
Q228	Agaricus	Q153718			Agaricus /I  Agaricomycotina (mushrooms)/		
Q229	Botry	Q153718					
Q230	Marimo	Q153718					
Q231	Bytos Duke of the city of Metaz	Q153718			Bytos /Duke of the city of Metaz/		
Q232	Cochaeus	Q153719					
Q233	Ganymede	Q153718					
Q234	Leotios	Q153718					
Q235	Smutley	Q153719					
Q236	Jello	Q153718					
Q237	Bartholomew	Q153718					
Q238	William	Q153718					
Q239	Gemini	Q153718					
Q240	Vala	Q153719					
Q241	Metaz	Q153718					
Q242	Volvox-Choan The Cancerous one	Q153718					
Q243	Carcinoma	Q153719					
Q244	Tracheus Tracheophytes	Q153718					
Q245	Pyrenos	Q153718					
Q246	Lecanius	Q153718					
Q247	Tremello	Q153718					
Q248	Dagar	Q153718					
Q249	Metzetta	Q153719					
Q250	Porifer Porifera	Q153718					
Q251	Grandson of Eglau	Q153718					
Q252	Great grandson of Eglau	Q153718					
Q253	Great Great grandson of Eglau	Q153718					
Q254	Great Great Great grandson of Eglau	Q153718					
Q255	Brunhilda						
Q256	Celestella						
Q257	Chrystella						
Q258	Spalla						
Q259	Starog						
Q260	Juno						
Q261	Gigastella						
Q262	Kali						
Q263	Trigla						
Q264	Lipa						
Q265	Hygieia						
Q266	Holometaboles	Q153718					
Q267	Ymir						
Q268	Ruby						
Q269	Babastella						
Q270	Triangula						
Q271	Aparaglossata	Q153718				Q48970749	
Q272	Zorapter	Q153718			/Zoraptera (angel insects)/		
Q273	Dermaptera	Q153718			/Dermaptera (earwigs)/	Q13676	
Q274	Stone	Q153718			/Plecoptera (stoneflies)/		
Q275	Orthopter	Q153718			/Orthoptera (grasshoppers, crickets, katydids)/		
Q276	Dictyoptera	Q153718			/Dictyoptera/		
Q277	Blattodea (cockroaches and termites)	Q153718			/Blattodea (cockroaches and termites)/		
Q278	Mantodea	Q153718			/Mantodea (mantises)/	Q131250	
Q279	Unsure clade near Rhipidistia	Q153718			/Unsure clade near Rhipidistia/		
Q280	Selenodus	Q153718			/Selenodus/		
Q281	Halwax	Q153718					
Q282	Conchifera	Q153718			/Conchifera/		
Q283	Spaghettes	Q153718					
Q284	Pompeii	Q153718					
Q285	Acros	Q153718					
Q286	Shrimp	Q153718			/Shrimp/		
Q287	Devon	Q153718					
Q288	Isolagos	Q153718					
Q289	Lycopodion	Q153718					
Q290	Quill	Q153718					
Q291	Euspor	Q153718					
Q292	Equis	Q153718					
Q293	Sons of Equis	Q153718					
Q294	Daughters of Equis	Q153719					
Q295	Adderos	Q153718					
Q296	Fernando	Q153718					
Q297	20 generations from Silvio	Q153719					
Q298	Carbonifer	Q153718					
Q299	Hexapter the six-gilled	Q153718					
Q300	Insectus	Q153718			Insectus /Insects/		
Q301	Sellagine	Q153718					
Q302	Therion velvetclaw	Q153718					
Q303	Thallus Rangeomorph	Q153718			Thallus  Rangeomorph		
Q304	Cloudi Metazoa	Q153718			Cloudi  Metazoa		
Q305	Arboreus Eutracheophytes	Q153718			Arboreus  Eutracheophytes		
Q306	†Rhyniophyta	Q153718			/†Rhyniophyta/		
Q307	Penicillius	Q153718			Penicillius //		
Q308	Capnos	Q153718			Capnos //		
Q309	Dacrum	Q153718			Dacrum //		
Q310	Agaricus II	Q153718			Agaricus II //		
Q311	Wallas Porifera	Q153718			Wallas  Porifera		
Q312	Lycos Lycophytina	Q153718			Lycos  Lycophytina		
Q313	Ginkgon Euphyllophytina	Q153718			Ginkgon  Euphyllophytina		
Q314	Nourishing Mushrooms	Q153718			Nourishing Mushrooms //		
Q315	Solenos Porifera	Q153718			Solenos  Porifera		
Q316	Phyllon Euphyllophytina	Q153718			Phyllon  Euphyllophytina		
Q317	Toadstools	Q153718			Toadstools //		
Q318	Leucon Porifera	Q153718			Leucon  Porifera		
Q319	Pteridos Pteridophyta	Q153718			Pteridos  Pteridophyta		
Q320	Gymnos Lignophytes	Q153718			Gymnos  Lignophytes		
Q321	Vitrius Porifera	Q153718			Vitrius  Porifera		
Q322	Spongius Porifera	Q153718			Spongius  Porifera		
Q323	Horsa Equisetopsida (horsetails)	Q153718			Horsa  Equisetopsida (horsetails)		
Q324	Spermatophytes	Q153718			/Spermatophytes/		
Q325	†Progymnospermophyta	Q153718			/†Progymnospermophyta/		
Q326	Aristos Porifera	Q153718			Aristos  Porifera		
Q327	Demos	Q153718			Demos /Porifera/		
Q328	Spongillus Spongillida	Q153718			Spongillus  Spongillida		
Q329	Chondrocles Predatory Sponges Chondrocladia	Q153718			Chondrocles Predatory Sponges  Chondrocladia		
Q330	Angiosperms (flowering plants)	Q153718			/Angiosperms (flowering plants)/		
Q331	Gymnosperms	Q153718			/Gymnosperms/		
Q332	Anu	Q153718			Anu /Porifera/		
Q333	Calcidoros Calcareous Sponge	Q153718			Calcidoros  Calcareous Sponge		
Q334	Ophios	Q153718			Ophios //		
Q335	Psilos	Q153718			Psilos //		
Q336	Maratton	Q153718			Maratton //		
Q338	Amborellales 1 sp. New Caledonia shrub	Q153718			/Amborellales 1 sp. New Caledonia shrub/		
Q339	Angiosperms (flowering plants)	Q153718			/Angiosperms (flowering plants)/		
Q340	Cycads	Q153718			/Cycads/		
Q341	Ginkgo	Q153718			/Ginkgo/		
Q342	Gymnosperms	Q153718			/Gymnosperms/		
Q343	Enki	Q153718			Enki /Eumetazoa/		
Q344	Homos	Q153718			Homos /Homoscleromorpha/		
Q345	Maratidus	Q153718			Maratidus //		
Q346	Leptos	Q153718			Leptos //		
Q347	Nymphaeales c. 80 spp.[43] water lilies & allies	Q153718			/Nymphaeales c. 80 spp.[43] water lilies & allies/		
Q348	Angiosperms (flowering plants)	Q153718			/Angiosperms (flowering plants)/		
Q349	Gnetophyta	Q153718			/Gnetophyta/		
Q350	Conifers	Q153718			/Conifers/		
Q351	Paraxus	Q153718			Paraxus /ParaHoxozoa/		
Q352	Xianguas	Q153718			Xianguas /Xianguangia/		
Q353	Austrobaileyales c. 100 spp.[43] woody plants	Q153718			/Austrobaileyales c. 100 spp.[43] woody plants/		
Q354	Angiosperms (flowering plants)	Q153718			/Angiosperms (flowering plants)/		
Q355	Hecate	Q153719			Hecate		
Q356	Bilateron Bilateria	Q153718			Bilateron  Bilateria		
Q357	Placus Placozoa	Q153718			Placus  Placozoa		
Q358	Cnider Cnidaria	Q153718			Cnider  Cnidaria		
Q359	Daihua Daihua sanqiong	Q153718			Daihua  Daihua sanqiong		
Q360	Angiosperms (flowering plants)	Q153718			/Angiosperms (flowering plants)/		
Q361	Angiosperms (flowering plants)	Q153718			/Angiosperms (flowering plants)/		
Q362	Coelomus Bilateria	Q153718			Coelomus  Bilateria		
Q363	Xenus Xenacoelomorpha	Q153718			Xenus  Xenacoelomorpha		
Q364	Anthus Anthozoa	Q153718			Anthus  Anthozoa		
Q365	Anaxydros Medusozoa	Q153718			Anaxydros  /Medusozoa/		
Q366	Dinomischus Dinomischus	Q153718			Dinomischus  Dinomischus		
Q367	Magnoliids c. 10,000 spp.[43] 3-part flowers, 1-pore pollen, usu. branc	Q153718			/Magnoliids c. 10,000 spp.[43] 3-part flowers, 1-pore pollen, usu. branc/		
Q368	Chloranthales 77 spp.[44] Woody, apetalous	Q153718			/Chloranthales 77 spp.[44] Woody, apetalous/		
Q369	Monocots c. 70,000 spp.[45] 3-part flowers, 1 cotyledon, 1-pore pollen	Q153718			/Monocots c. 70,000 spp.[45] 3-part flowers, 1 cotyledon, 1-pore pollen/		
Q370	Angiosperms (flowering plants)	Q153718			/Angiosperms (flowering plants)/		
Q371	Nephrus Nephrozoa	Q153718			Nephrus  Nephrozoa		
Q372	Ceriantharia Ceriantharia	Q153718			Ceriantharia  Ceriantharia		
Q373	Hexacorallia Hexacorallia	Q153718			Hexacorallia  Hexacorallia		
Q374	Octocorallia Octocorallia	Q153718			Octocorallia  Octocorallia		
Q375	Pompom Stalked Jellyfish	Q153718			Pompom  Stalked Jellyfish		
Q376	Meduson Jellyfish	Q153718			Meduson /Jellyfish/		
Q377	Siphus Siphusauctum	Q153718			Siphus  Siphusauctum		
Q378	Magnoliids c. 10,000 spp.[43] 3-part flowers, 1-pore pollen, usu. branc	Q153718			/Magnoliids c. 10,000 spp.[43] 3-part flowers, 1-pore pollen, usu. branc/		
Q379	Magnoliids c. 10,000 spp.[43] 3-part flowers, 1-pore pollen, usu. branc	Q153718			/Magnoliids c. 10,000 spp.[43] 3-part flowers, 1-pore pollen, usu. branc/		
Q380	Acorales Link 1835	Q153718			/Acorales Link 1835/		
Q381	Monocots	Q153718			/Monocots/		
Q382	Ceratophyllus	Q153718			/Ceratophyllales c. 6 spp.[43] aquatic plants/		
Q383	Eudicots c. 175,000 spp.[43] 4- or 5-part flowers, 3-pore pollen, usu	Q153718			/Eudicots c. 175,000 spp.[43] 4- or 5-part flowers, 3-pore pollen, usu/		
Q384	Cambrius Nephrozoa	Q153718			Cambrius  Nephrozoa		
Q385	Scleractinia Scleractinia	Q153718			Scleractinia  Scleractinia		
Q386	Anemon Anemones	Q153718			Anemon  Anemones		
Q387	Jelly Jellyfish	Q153718			Jelly  Jellyfish		
Q388	Diplos Jellyfish	Q153718			Diplos  Jellyfish		
Q389	Ctenophora Ctenophora	Q153718			Ctenophora  Ctenophora		
Q390	Scleroctenophora Scleroctenophora	Q153718			Scleroctenophora  Scleroctenophora		
Q391	Canellales	Q153718			/Canellales/		
Q392	Piperales	Q153718			/Piperales/		
Q393	Laurales	Q153718			/Laurales/		
Q394	Magnoliales	Q153718			/Magnoliales/		
Q395	Alismatales Brown ex von Berchtold & Presl 1820	Q153718			/Alismatales Brown ex von Berchtold & Presl 1820/		
Q396	Monocots	Q153718			/Monocots/		
Q397	Spriggina  Spriggina	Q153719			Spriggina /Spriggina/		
Q398	Dutrus Deuterostome	Q153718			Dutrus  Deuterostome		
Q399	Protos Protostome	Q153718			Protos  Protostome		
Q400	Cubos Cubozoa	Q153718			Cubos  Cubozoa		
Q401	Scyphos Scyphozoa	Q153718			Scyphos  Scyphozoa		
Q402	Paras	Q153718			Paras  /Parasitic Cnidarians/		
Q403	Hydroz Hydrozoa	Q153718			Hydroz  Hydrozoa		
Q404	Tentaculata Tentaculata	Q153718			Tentaculata  Tentaculata		
Q405	Nuda Beroidae	Q153718			Nuda  Beroidae		
Q406	Black Pepper	Q153718			/Black Pepper/		
Q407	Kava	Q153718			/Kava/		
Q408	Lauraceae	Q153718			/Lauraceae/		
Q409	Nutmeg	Q153718			Nutmeg /Myristica fragrans/		
Q410	Petrosaviales Takhtajan 1997	Q153718			/Petrosaviales Takhtajan 1997/		
Q411	Monocots	Q153718			/Monocots/		
Q412	Chordatus	Q153718			Chordatus  Chordates		
Q413	Ambulus	Q153718			Ambulus  /Ambulacraria/		
Q414	Spiralius	Q153718			Spiralius  /Spiralia/		
Q415	Ectus Ecdysozoa	Q153718			Ectus  Ecdysozoa		
Q416	Polypodius	Q153718			Polypodius  /Polypodium hydriforme/		
Q417	Buddenbrock	Q153718			Buddenbrock  /Buddenbrockia plumatellae/		
Q418	Myxozoa	Q153718					
Q419	Trachymedusae Trachymedusae	Q153718			Trachymedusae  Trachymedusae		
Q420	Hydroidolina Hydroidolina	Q153718			Hydroidolina  Hydroidolina		
Q421	Coeloplana astericola Creeping Comb Jelly	Q153718			Coeloplana astericola  Creeping Comb Jelly		
Q422	Mnemiopsis Mnemiopsis	Q153718			Mnemiopsis  Mnemiopsis		
Q423	bay laurel	Q153718			/bay laurel/		
Q424	cinnamon	Q153718			/cinnamon/		
Q425	avocado	Q153718			/avocado/		
Q426	Monocots	Q153718			/Monocots/		
Q427	Monocots	Q153718			/Monocots/		
Q428	Vertebratus Chordates	Q153718			Vertebratus  Chordates		
Q429	Tunicus Tunicates	Q153718			Tunicus  Tunicates		
Q430	Hemichus Ambulacraria	Q153718			Hemichus /Hemichordata/		
Q431	Kimberella Kimberella	Q153718			Kimberella  Kimberella		
Q432	Gnathifer Gnathifera	Q153718			Gnathifer  Gnathifera		
Q433	Ishmael Scalidophora	Q153718			Ishmael  Scalidophora		
Q434	Isaac Cryptovermes	Q153718			Isaac  Cryptovermes		
Q435	Freshwater Jellyfish Freshwater Jellyfish	Q153718			Freshwater Jellyfish  Freshwater Jellyfish		
Q436	Anthoathecata Anthoathecata	Q153718			Anthoathecata  Anthoathecata		
Q437	Siphonophorae Siphonophorae	Q153718			Siphonophorae  Siphonophorae		
Q438	Dioscoreales Brown 1835	Q153718			/Dioscoreales Brown 1835/		
Q439	Pandanales Brown ex von Berchtold & Presl 1820	Q153718			/Pandanales Brown ex von Berchtold & Presl 1820/		
Q440	Liliales Perleb 1826	Q153718			/Liliales Perleb 1826/		
Q441	Monocots	Q153718			/Monocots/		
Q442	Rene Chordates	Q153718			Rene  Chordates		
Q443	Larvaceus Larvaceans	Q153718			Larvaceus  Larvaceans		
Q444	Ascidaceus Ascidiacea	Q153718			Ascidaceus  Ascidiacea		
Q445	Acorn Enteropneusta	Q153718			Acorn  Enteropneusta		
Q446	Oak Ambulacraria	Q153718			Oak  Ambulacraria		
Q447	Odontogriphus	Q153718			Odontogriphus  Odontogriphus		
Q448	Rouphy Rouphozoa	Q153718			Rouphy  Rouphozoa		
Q449	Nematus Nematoidea	Q153718			Nematus  Nematoidea		
Q450	Lobopus Lobopoda	Q153718			Lobopus  Lobopoda		
Q451	Oceaniidae Oceaniidae	Q153718			Oceaniidae  Oceaniidae		
Q452	Velella Velella	Q153718			Velella  Velella		
Q453	Hydra Hydra	Q153718			Hydra  Hydra		
Q454	Fire coral Fire coral	Q153718			Fire coral  Fire coral		
Q455	Calycophorae nectophores	Q153718			Calycophorae  nectophores		
Q456	Cystonectae float	Q153718			Cystonectae  float		
Q457	Physonectae nectophores and float	Q153718			Physonectae  nectophores and float		
Q458	Asparagales Link 1829	Q153718			/Asparagales Link 1829/		
Q459	Commelinids	Q153718			/Commelinids/		
Q460	Hemos Chordates	Q153718			Hemos  Chordates		
Q461	Stolidos Ascidiacea	Q153718			Stolidos  Ascidiacea		
Q462	Proteus Ascidiacea	Q153718			Proteus  Ascidiacea		
Q463	Biscarpon Stem Echinoderms	Q153718			Biscarpon  Stem Echinoderms		
Q464	Pterobronk Pterobranchia	Q153718			Pterobronk  Pterobranchia		
Q465	Molluscus Molluscs	Q153718					
Q466	Symbion Symbion	Q153718			Symbion  Symbion		
Q467	Papyra Platyhelminthes	Q153719			Papyra  Platyhelminthes		
Q468	Rhombos Rhombozoa?Dicyemida Dicyemida	Q153718			Rhombos  Rhombozoa?Dicyemida		
Q469	Maria the Fairhaired Gastrotricha	Q153719			Maria the Fairhaired  Gastrotricha		
Q470	Nematus Nematoda	Q153718					
Q471	Nemarth	Q153718			Nemarth  .Nematomorpha/		
Q472	Onychodictyon Onychodictyon	Q153718			Onychodictyon  Onychodictyon		
Q473	Immortal jellyfish Immortal jellyfish	Q153718			Immortal jellyfish  Immortal jellyfish		
Q474	Asparagus	Q153718			/Asparagus/		
Q475	Arecales Bromhead 1840	Q153718			/Arecales Bromhead 1840/		
Q476	Commelinids	Q153718			/Commelinids/		
Q477	Hausa Chordates	Q153718			Hausa  Chordates		
Q478	Thallasus Ascidiacea	Q153718			Thallasus  Ascidiacea		
Q479	Enterogon Ascidiacea	Q153718			Enterogon  Ascidiacea		
Q480	Ctenocyston Ctenocystoidea	Q153718			Ctenocyston  Ctenocystoidea		
Q481	Cincton Stem Echinoderms	Q153718			Cincton  Stem Echinoderms		
Q482	Testar Testaria	Q153718			Testar  Testaria		
Q483	Solenogastres Solenogastres	Q153718			Solenogastres  Solenogastres		
Q484	Caudofoveata Caudofoveata	Q153718			Caudofoveata  Caudofoveata		
Q485	Halwaxiida	Q153718			Halwaxidus  Halwaxida	Q5643790	
Q486	Lophophorata	Q153718					
Q487	Annelidus Annelids	Q153718			Annelidus  Annelids		
Q488	Flavio Platyhelminthes	Q153718			Flavio  Platyhelminthes		
Q489	Tactopus Onychodictyon	Q153718			Tactopus  Onychodictyon		
Q490	Xenu Onychodictyon	Q153718			Xenu  Onychodictyon		
Q491	Poales Small 1903	Q153718			/Poales Small 1903/		
Q492	Commelinids	Q153718			/Commelinids/		
Q493	Haikus Chordates	Q153718			Haikus  Chordates		
Q494	Dolios Ascidiacea	Q153718			Dolios  Ascidiacea		
Q495	Pyros Ascidiacea	Q153718			Pyros  Ascidiacea		
Q496	Salpus Ascidiacea	Q153718			Salpus  Ascidiacea		
Q497	Soluton Soluta (echinoderm)	Q153718			Soluton  Soluta (echinoderm)		
Q498	Chiton Horizontus Chiton	Q153718			Chiton Horizontus  Chiton		
Q499	Conchifer Verticus Conchifera	Q153718			Conchifer Verticus  Conchifera		
Q500	Wiwaxia the spiny Wiwaxia	Q153718			Wiwaxia the spiny  Wiwaxia		
Q501	Bryan	Q153718			Bryozoa  Bryozoa		
Q502	Father				Father /Shisojin/		
Q503	Mother				Mother /Shisojin/		
Q504	Paternal grandfather				Paternal grandfather /Shisojin/		
Q505	Paternal grandmother				Paternal grandmother /Shisojin/		
Q506	Maternal grandfather				Maternal grandfather /Shisojin/		
Q507	Maternal grandmother				Maternal grandmother /Shisojin/		
Q508	Paternal great-grandfather				Paternal great-grandfather /Shisojin/		
Q509	Paternal great-grandmother				Paternal great-grandmother /Shisojin/		
Q510	Paternal great-grandfather				Paternal great-grandfather /Shisojin/		
Q511	Paternal great-grandmother				Paternal great-grandmother /Shisojin/		
Q512	Maternal great-grandfather				Maternal great-grandfather /Shisojin/		
Q513	Maternal great-grandmother				Maternal great-grandmother /Shisojin/		
Q514	Maternal great-grandfather				Maternal great-grandfather /Shisojin/		
Q515	Maternal great-grandmother				Maternal great-grandmother /Shisojin/		
Q516	5-generation ancestor [Ahnentafel 16]				5-generation ancestor [Ahnentafel 16] /Shisojin/		
Q517	5-generation ancestor [Ahnentafel 17]				5-generation ancestor [Ahnentafel 17] /Shisojin/		
Q518	5-generation ancestor [Ahnentafel 18]				5-generation ancestor [Ahnentafel 18] /Shisojin/		
Q519	5-generation ancestor [Ahnentafel 19]				5-generation ancestor [Ahnentafel 19] /Shisojin/		
