child_qid	child_label	n_parents	clusters	proposed_parents	unresolved	reason
Q153447	HASTI (founder of Hastinapur) Suhotra	5	[Q153453 'SUVARNA Suhotra'] ; [Q153454 'SUHOTRA \ VAITITHI Brihatkshatra Brihatkshatra Brihatkshatra Brihatkshatra Brihatkshatra Brihatkshatra Br' = Q29959 'SUHOTRA \ VAITITHI VAITITHI \Brihatkshatra'] ; [Q50084 'Q50084'] ; [Q53530 'Q53530']		yes	5 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q153454+Q29959: same given name and every surname token matches as a spelling variant ('SUHOTRA \ VAITITHI Brihatkshatra Brihatkshatra Brihatkshatra Brihatkshatra Brihatkshatra Brihatkshatra Br' / 'SUHOTRA \ VAITITHI VAITITHI \Brihatkshatra')
Q160051	Maharaja Malayu II - Tribhuwanaraja (1286-1316)	5	[Q160069 'Person Q160069'] ; [Q160070 'Istri Trailokyaraja'] ; [Q160071 'Trailokyaraja Raja Sriwijaya & Malayupura'] ; [Q160072 'Puteri Mahtabul Bahri Raja Aftabul Ardl'] ; [Q160073 'Raja Langkasuka Sultan Suran']		yes	5 listed parents do NOT collapse: they cluster into 5 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 5 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q1861	Krishna	5	[Q160387 'NANDA RAI aka NANDA BABA of GOKUL Shurasena' = Q49387 'Nanda Baba'] ; [Q1876 'Devaki'] ; [Q1877 'Vasudeva'] ; [Q49383 'Yashoda']		yes	5 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q160387+Q49387: same given name and every surname token matches as a spelling variant ('NANDA RAI aka NANDA BABA of GOKUL Shurasena' / 'Nanda Baba')
Q2319	DASHARATHA	5	[Q161276 'Indumati' = Q51402 'Indumati'] ; [Q161277 'Aja'] ; [Q2322 'Aja'] ; [Q52308 'Q52308']		yes	5 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q161276+Q51402: identical label 'Indumati'
Q2389	Yuvanashva II	5	[Q161377 'Prasenajit 1 Ikshvaku' = Q29014 'Prasenajit 1 Ikshvaku'] ; [Q161378 'wife of Prasenjit l' = Q51524 'wife of Prasenjit l'] ; [Q52580 'Q52580']		yes	5 listed parents do NOT collapse: they cluster into 3 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 3 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q161377+Q29014: identical label 'Prasenajit 1 Ikshvaku'; Q161378+Q51524: identical label 'wife of Prasenjit l'
Q30804	Osteolepiformes	5	[Q152957 'Abu Eotetra Tetrapodomorpha'] ; [Q30792 'Unnamed clade Tetrapodomorpha'] ; [Q30796 'Q30796'] ; [Q54360 'Q54360'] ; [Q54364 'Q54364']		yes	5 listed parents do NOT collapse: they cluster into 5 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 5 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q3457	Miguel de Cervantes	5	[Q32086 'Rodrigo Cervantes Torreblanca'] ; [Q89759 'Diego de Cervantes y Toledo' = Q91574 'Diego de Cervantes y Alvarez de Toledo'] ; [Q91763 'Juana Arias de Avellaneda Saavedra'] ; [Q92861 'Leonor de Cortinas']		yes	5 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q89759+Q91574: same given name and every surname token matches as a spelling variant ('Diego de Cervantes y Toledo' / 'Diego de Cervantes y Alvarez de Toledo')
Q6421	Shaodian	5	[Q51954 'You Xiong'] ; [Q6433 'Fuxi'] ; [Q6435 'Nüwa'] ; [Q87840 'Q87840'] ; [Q87862 '(You Xiong) Youxiong']		yes	5 listed parents do NOT collapse: they cluster into 5 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 5 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q70388	Publius Aelius Marullinus	5	[Q151764 'Publius Aelius Marullinus' = Q69886 'Publius Aelius Marullinus' = Q71349 'Publius Aelius Hadrianus Marullinus'] ; [Q71382 'NN (Wife of Publius Aelius Hadrianus Marullinus)'] ; [Q99338 'Aelius']		yes	5 listed parents do NOT collapse: they cluster into 3 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 3 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q151764+Q69886: identical label 'Publius Aelius Marullinus'; Q151764+Q71349: same given name and every surname token matches as a spelling variant ('Publius Aelius Marullinus' / 'Publius Aelius Hadrianus Marullinus'); Q69886+Q71349: same given name and every surname token matches as a spelling variant ('Publius Aelius Marullinus' / 'Publius Aelius Hadrianus Marullinus')
Q73260	Marcus Licinius Crassus Agelastus	5	[Q72969 'NN (Wife of Gaius Licinius Varus)'] ; [Q72972 'Publius Licinius Crassus Dives' = Q72981 'Publius Licinius Crassus' = Q73410 'Publius Licinius Crassus'] ; [Q73407 'NN (Wife of Publius Licinius Crassus)']		yes	5 listed parents do NOT collapse: they cluster into 3 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 3 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q72972+Q72981: same given name and every surname token matches as a spelling variant ('Publius Licinius Crassus Dives' / 'Publius Licinius Crassus'); Q72972+Q73410: same given name and every surname token matches as a spelling variant ('Publius Licinius Crassus Dives' / 'Publius Licinius Crassus'); Q72981+Q73410: identical label 'Publius Licinius Crassus'
Q76693	Sergius Octavius Pontianus Laenes Octavius  Pontainus	5	[Q76930 'Lucius Octavius Laenus' = Q76945 'Lucius Octavius Laenas'] ; [Q76933 'Sergius Octavius Pontainus'] ; [Q76936 'Octavius Laenas'] ; [Q76939 'Pontia']		yes	5 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q76930+Q76945: labels 95% identical, same given name ('Lucius Octavius Laenus' / 'Lucius Octavius Laenas')
Q78713	Ptolemy IX Lathyros	5	[Q73035 'Cleopatra III of Egypt' = Q78719 'Cleopatra III of Egypt'] ; [Q73038 'Ptolemy VIII Physcon'] ; [Q73197 'Ptolemy VI'] ; [Q78402 'Q78402']		yes	5 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q73035+Q78719: same Wikidata ID (Q40003)
Q86089	Itakayt . 	5	[Q195205 'Senusret II' = Q86147 'Khakheperre Senusret II'] ; [Q85640 'Nefrusheri'] ; [Q86065 'Kheperkare Senusret I'] ; [Q86159 'Itaweret Itaurt of Egypt']		yes	5 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q195205+Q86147: same Wikidata ID (Q18722)
Q86820	Caliph Muhammad al-Mahdi son of  Abdallah al-Mansur	5	[Q86826 'Caliph Abd Allah al-Mansur'] ; [Q86828 'Arwa daughter of Mansur al-Himyari'] ; [Q86830 'Shikla (2) Zauja-e-Abdallah al-Mansur'] ; [Q86832 'Caliph Abu Ja'afar Abdallah al-Mansur ibn Muhammad al-Kamil'] ; [Q86834 'Abu Jafar al-Mansur son of Mohammad 2nd Abbasid Calif - r.754-775']		yes	5 listed parents do NOT collapse: they cluster into 5 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 5 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q100374	Galindo Aznárez II	4	[Q100068 'Iniguez de Pamplona'] ; [Q100372 'Aznar II Galindez' = Q109734 'Aznar Galíndez II'] ; [Q109541 'Onneca Garcés of Pamplona']		yes	4 listed parents do NOT collapse: they cluster into 3 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 3 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q100372+Q109734: same name tokens ('Aznar II Galindez' / 'Aznar Galíndez II')
Q100427	García Fernández of Castile	4	[Q100084 'Sancha Sanchez de Pamplona, reina consorte de Leon' = Q109563 'Sancha Sánchez of Pamplona'] ; [Q100421 'Fernan'] ; [Q109784 'Fernán González of Castile']		yes	4 listed parents do NOT collapse: they cluster into 3 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 3 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q100084+Q109563: same given name and every surname token matches as a spelling variant ('Sancha Sanchez de Pamplona, reina consorte de Leon' / 'Sancha Sánchez of Pamplona')
Q100435	Urraca Fernández	4	[Q100084 'Sancha Sanchez de Pamplona, reina consorte de Leon' = Q109563 'Sancha Sánchez of Pamplona'] ; [Q100421 'Fernan'] ; [Q109784 'Fernán González of Castile']		yes	4 listed parents do NOT collapse: they cluster into 3 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 3 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q100084+Q109563: same given name and every surname token matches as a spelling variant ('Sancha Sanchez de Pamplona, reina consorte de Leon' / 'Sancha Sánchez of Pamplona')
Q100443	Toda of Pamplona	4	[Q100352 'Onneca o Iniga Fortunez de Pamplona' = Q109355 'Onneca Fortúnez'] ; [Q100364 'Aznar Sanchez de Larraun' = Q109437 'Aznar Sánchez de Larraún']	Q109355,Q109437	no	4 listed parents collapse to 2 distinct person(s): 2 record(s) are duplicates of another listed parent. Evidence — Q100352+Q109355: same given name and every surname token matches as a spelling variant ('Onneca o Iniga Fortunez de Pamplona' / 'Onneca Fortúnez'); Q100364+Q109437: identical label 'Aznar Sanchez de Larraun'. The two survivors are one male and one female, as a biological parent pair should be
Q100483	Gonzalo Fernández of Castile	4	"[Q100120 'Gutina de Castilla'] ; [Q100481 'Fernando Munoz de Castrojeriz ""El Negro""'] ; [Q110520 'Fernando González 'the Black' of Castrosiero'] ; [Q110522 'Gontiña Muñoz']"		yes	4 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q100912	Ava of Ribagorza	4	[Q101591 'Raimundo II de Rivagorza'] ; [Q102778 'Garsenda de Fezensac'] ; [Q110422 'Ramon II of Ribagorza'] ; [Q110530 'Garsende of Fesensac']		yes	4 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q100948	Sancho II of Pamplona	4	[Q100447 'Garcia I Sanchez' = Q109559 'García Sánchez I of Pamplona'] ; [Q100828 'Andregoto Galindez' = Q109770 'Andregoto Galíndez']	Q109559,Q109770	no	4 listed parents collapse to 2 distinct person(s): 2 record(s) are duplicates of another listed parent. Evidence — Q100447+Q109559: same given name and every surname token matches as a spelling variant ('Garcia I Sanchez' / 'García Sánchez I of Pamplona'); Q100828+Q109770: identical label 'Andregoto Galindez'. The two survivors are one male and one female, as a biological parent pair should be
Q100976	Dadildis of Pallars	4	[Q110054 'Loup Donat'] ; [Q110056 'Faquilena de Roergue'] ; [Q113415 'Lupo de Bigorra, IV Count of Bigorre'] ; [Q113417 'Faquilene de Toulouse (de Rouergue)']		yes	4 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q101722	Urraca Garces	4	"[Q100950 'Garcia Sanchez II ""El Tremulo""'] ; [Q101718 'Jimena Fernandez de Leon' = Q110482 'Jimena Fernández'] ; [Q110074 'García Sánchez II of Pamplona']"		yes	4 listed parents do NOT collapse: they cluster into 3 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 3 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q101718+Q110482: same given name and every surname token matches as a spelling variant ('Jimena Fernandez de Leon' / 'Jimena Fernández')
Q102603	Pedro Froilaz de Traba	4	[Q103963 'Dna. Elvira de Faro'] ; [Q104027 'Bermudez'] ; [Q125050 'Froila Vermúdez de Traba'] ; [Q125052 'Elvira Mendez de Faro']		yes	4 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q102772	Oliba Cabreta	4	[Q101589 'Ava, comtessa consort de Cerdanya' = Q110870 'Ava of Cerdanya'] ; [Q102765 'Miro II el Jove, comte de Cerdanya' = Q111442 'Miró II of Cerdanya']	Q110870,Q111442	no	4 listed parents collapse to 2 distinct person(s): 2 record(s) are duplicates of another listed parent. Evidence — Q101589+Q110870: same given name and every surname token matches as a spelling variant ('Ava, comtessa consort de Cerdanya' / 'Ava of Cerdanya'); Q102765+Q111442: same given name and every surname token matches as a spelling variant ('Miro II el Jove, comte de Cerdanya' / 'Miró II of Cerdanya'). The two survivors are one male and one female, as a biological parent pair should be
Q104007	Sancho II of León and Castile	4	[Q102901 'Fernando I o Magno, rei de Castela'] ; [Q110956 'Ferdinand I of León and Castile'] ; [Q110976 'Sancha of León'] ; [Q123443 'Sancha']		yes	4 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q104011	García II of Galicia	4	[Q102901 'Fernando I o Magno, rei de Castela'] ; [Q110956 'Ferdinand I of León and Castile'] ; [Q110976 'Sancha of León'] ; [Q123443 'Sancha']		yes	4 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q104013	Alfonso VI of León and Castile	4	[Q102901 'Fernando I o Magno, rei de Castela'] ; [Q110956 'Ferdinand I of León and Castile'] ; [Q110976 'Sancha of León'] ; [Q123443 'Sancha']		yes	4 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q104137	Henry of Burgundy	4	[Q106776 'Q106776'] ; [Q106778 'Sibila'] ; [Q111733 'Sybilla of Barcelona'] ; [Q118429 'Henry of Burgundy']		yes	4 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q104620	Lope Íñiguez	4	[Q102761 'Toda Fortunez'] ; [Q104616 'Inigo Lopez de Ezquerra' = Q111585 'Íñigo López'] ; [Q110972 'Toda Ortiz']		yes	4 listed parents do NOT collapse: they cluster into 3 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 3 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q104616+Q111585: same given name and every surname token matches as a spelling variant ('Inigo Lopez de Ezquerra' / 'Íñigo López')
Q106950	Manrique Perez de Lara	4	"[Q104246 'Eva Perez de Traba'] ; [Q104767 'Pedro ""Queen's Lover"" Gonzalez de Lara' = Q112885 'Pedro González de Lara'] ; [Q112382 'Ava of Rochechouart']"		yes	"4 listed parents do NOT collapse: they cluster into 3 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 3 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q104767+Q112885: same given name and every surname token matches as a spelling variant ('Pedro ""Queen's Lover"" Gonzalez de Lara' / 'Pedro González de Lara')"
Q107026	Alphonse Jourdain	4	[Q104282 'Elvira Alfonso de Castilla y Leon' = Q112428 'Elvira of Castile'] ; [Q107024 'Raymond de TOULOUSE' = Q112446 'Raymond IV, Count of Toulouse']	Q112428,Q112446	no	4 listed parents collapse to 2 distinct person(s): 2 record(s) are duplicates of another listed parent. Evidence — Q104282+Q112428: same given name and every surname token matches as a spelling variant ('Elvira Alfonso de Castilla y Leon' / 'Elvira of Castile'); Q107024+Q112446: same given name and every surname token matches as a spelling variant ('Raymond de TOULOUSE' / 'Raymond IV, Count of Toulouse'). The two survivors are one male and one female, as a biological parent pair should be
Q107158	Ermengol VI, Count of Urgell	4	[Q104427 'Maria Perez de Valladolid' = Q115822 'María Pérez'] ; [Q107214 'Ermengol V 'el de Mollerussa' d'Urgell'] ; [Q114802 'Ermengol V, Count of Urgell']		yes	4 listed parents do NOT collapse: they cluster into 3 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 3 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q104427+Q115822: same given name and every surname token matches as a spelling variant ('Maria Perez de Valladolid' / 'María Pérez')
Q108942	Muhammad al-Jawad	4	[Q108796 'Ali al-Ridha'] ; [Q108940 'Sabīkah Khayzurān'] ; [Q95394 'Imam Ali al-Rida'] ; [Q95882 'Sabikah Al-Nubi']		yes	4 listed parents do NOT collapse: they cluster into 4 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 4 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on.
Q110072	Ramiro III of León	4	"[Q100340 'Sancho I ""El Craso"" de Leon' = Q109766 'Sancho I of León'] ; [Q100738 'Teresa Ansurez'] ; [Q110070 'Velasquita Ramírez']"		yes	"4 listed parents do NOT collapse: they cluster into 3 distinct people, more than a biological pair. Deduplication cannot decide which 2 are the real parents, and choosing among 3 genuinely different claimed parents is genealogical judgement, not a merge. Clusters are shown for a human to rule on. Partial merges found — Q100340+Q109766: same given name and every surname token matches as a spelling variant ('Sancho I ""El Craso"" de Leon' / 'Sancho I of León')"
