group	how	qid	label	labels_agree
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	Q160601	SUPARNA	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	Q2015	Kinnarasva	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	Q160620	KINNARASVA	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	Q2027	Pushkar	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	Q160646	PUSHKAR	yes
devabhuti	seed	Q2074	Devabhuti	yes
devabhuti	seed	Q50360	Devabhuti	yes
devabhuti	seed	Q160757	King of Shunga X - Devabhuti (8373 BC)	yes
bhagabhadra	seed	Q2086	Bhagabhadra	yes
bhagabhadra	seed	Q50412	Bhagabhadra	yes
bhagabhadra	seed	Q160777	King of Shunga IX - Bhagabhadra (110-83 BC)	yes
vajramitra	seed	Q2101	Vajramitra	yes
vajramitra	seed	Q50464	Vajramitra	yes
vajramitra	seed	Q160803	King of Shunga VIII - Vajramitra (...-110 BC)	yes
ghosha	seed	Q2117	Ghosha	yes
ghosha	seed	Q50524	Ghosha	yes
ghosha	seed	Q160830	King of Shunga VII - Ghosha (119-... BC)	yes
pulindaka	seed	Q2134	Pulindaka	yes
pulindaka	seed	Q50597	Pulindaka	yes
pulindaka	seed	Q160858	King of Shunga VI - Pulindaka (122119 BC)	yes
bhadraka	seed	Q2150	Bhadraka	yes
bhadraka	seed	Q50645	Bhadraka	yes
bhadraka	seed	Q160882	King of Shunga V - Bhadraka (124122 BC)	yes
vasumitra	seed	Q2165	Vasumitra	yes
vasumitra	seed	Q50681	Vasumitra	yes
vasumitra	seed	Q160900	King of Shunga IV - Vasumitra (131124 BC)	yes
agnimitra	seed	Q2175	Agnimitra	yes
agnimitra	seed	Q50725	Agnimitra	yes
agnimitra	seed	Q160916	King of Shunga II - Agnimitra (149141 BC)	yes
agnimitra:mother	via mother of agnimitra	Q2181	Marhindi Maurya	yes
agnimitra:mother	via mother of agnimitra	Q50758	Marhindi Maurya	yes
agnimitra:mother	via mother of agnimitra	Q160933	Marhindi Maurya	yes
brihadratha	seed	Q2188	Brihadratha Maurya	NO
brihadratha	seed	Q50792	Brihadratha	NO
brihadratha	seed	Q160951	Brihadratha, King of Maurya	NO
dasharatha	seed	Q2194	Dasaratha Maurya	NO
dasharatha	seed	Q50832	Dasharatha Maurya	NO
dasharatha	seed	Q160969	King of Maurya IV - Dasharatha (232-224 BC)	NO
kunala	seed	Q2200	Kunala King of Kashmir & Gandhara	NO
kunala	seed	Q50873	Kunala	NO
kunala	seed	Q160984	Kunala	NO
ashoka	seed	Q2206	Ashoka	NO
ashoka	seed	Q50908	Ashoka	NO
ashoka	seed	Q160996	Ashoka II, King of Maurya III	NO
ashoka:mother	via mother of ashoka	Q2212	Subhadrangi	yes
ashoka:mother	via mother of ashoka	Q50938	Subhadrangi	yes
ashoka:mother	via mother of ashoka	Q161006	Subhadrangi	yes
ashoka:mother:mother	via mother of ashoka:mother	Q2217	Nandini	yes
ashoka:mother:mother	via mother of ashoka:mother	Q50978	Nandini	yes
ashoka:mother:mother	via mother of ashoka:mother	Q161018	Nandini	yes
ashoka:mother:mother:father	via father of ashoka:mother:mother	Q2222	Dhananada [Xandrames], King of Magadha	yes
ashoka:mother:mother:father	via father of ashoka:mother:mother	Q51023	Dhananada [Xandrames], King of Magadha	yes
ashoka:mother:mother:father	via father of ashoka:mother:mother	Q161032	Dhananada [Xandrames], King of Magadha	yes
ashoka:mother:mother:father:father	via father of ashoka:mother:mother:father	Q2226	Ksemadharma, King of Magadha	yes
ashoka:mother:mother:father:father	via father of ashoka:mother:mother:father	Q51053	Ksemadharma, King of Magadha	yes
ashoka:mother:mother:father:father	via father of ashoka:mother:mother:father	Q161044	Ksemadharma, King of Magadha	yes
ashoka:mother:mother:father:father:father	via father of ashoka:mother:mother:father:father	Q2229	Kakavarna Kalashoka	NO
ashoka:mother:mother:father:father:father	via father of ashoka:mother:mother:father:father	Q51073	Kalasoka Kakavara, King of Magadha	NO
ashoka:mother:mother:father:father:father	via father of ashoka:mother:mother:father:father	Q161053	Kalasoka Kakavara, King of Magadha	NO
ashoka:mother:mother:father:father:father:father	via father of ashoka:mother:mother:father:father:father	Q2233	Shishunaga	yes
ashoka:mother:mother:father:father:father:father	via father of ashoka:mother:mother:father:father:father	Q51089	Sisunaga, King of Magadha	yes
ashoka:mother:mother:father:father:father:father	via father of ashoka:mother:mother:father:father:father	Q161062	Sisunaga, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father	Q2236	Nagadashoka, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father	Q51104	Nagadashoka, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father	Q161071	Nagadashoka, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father	Q2240	Nandivardha Anuruddha, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father	Q51119	Nandivardha Anuruddha, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father	Q161084	Nandivardha Anuruddha, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father:father:mother	via mother of ashoka:mother:mother:father:father:father:father:father:father	Q2243	Vajira	yes
ashoka:mother:mother:father:father:father:father:father:father:mother	via mother of ashoka:mother:mother:father:father:father:father:father:father	Q51134	Vajira	yes
ashoka:mother:mother:father:father:father:father:father:father:mother	via mother of ashoka:mother:mother:father:father:father:father:father:father	Q161097	Vajira	yes
ashoka:mother:mother:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father	Q2244	Ajatasatru Kunika, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father	Q51139	Ajatasatru Kunika, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father	Q161098	AJATASHATRU KUNIKA	yes
ashoka:mother:mother:father:father:father:father:father:father:mother:father	via father of ashoka:mother:mother:father:father:father:father:father:father:mother	Q2247	Prasenajit II of Kosala	yes
ashoka:mother:mother:father:father:father:father:father:father:mother:father	via father of ashoka:mother:mother:father:father:father:father:father:father:mother	Q51154	Prasenajit II of Kosala	yes
ashoka:mother:mother:father:father:father:father:father:father:mother:father	via father of ashoka:mother:mother:father:father:father:father:father:father:mother	Q161111	Prasenajit II of Kosala	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father	Q2249	BIMBISARA of Magadha	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father	Q51164	BIMBISARA of Magadha	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father	Q161113	BIMBISARA	NO
ashoka:mother:mother:father:father:father:father:father:father:mother:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:mother:father	Q2252	Langal	yes
ashoka:mother:mother:father:father:father:father:father:father:mother:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:mother:father	Q51179	Langal	yes
ashoka:mother:mother:father:father:father:father:father:father:mother:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:mother:father	Q161128	Langal	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother	via mother of ashoka:mother:mother:father:father:father:father:father:father:father:father	Q2253	Bimbi	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother	via mother of ashoka:mother:mother:father:father:father:father:father:father:father:father	Q51184	Bimbi	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother	via mother of ashoka:mother:mother:father:father:father:father:father:father:father:father	Q161129	Princess Bimbi of Magadha	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father	Q2254	Bhattiya, King of Magadha (the usurper)	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father	Q51189	Bhattiya, King of Magadha (the usurper)	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father	Q161130	BHATTIYA	yes
ashoka:mother:mother:father:father:father:father:father:father:mother:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:mother:father:father	Q2258	Shudhyod	yes
ashoka:mother:mother:father:father:father:father:father:father:mother:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:mother:father:father	Q51205	Shudhyod	yes
ashoka:mother:mother:father:father:father:father:father:father:mother:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:mother:father:father	Q161145	Shudhyod	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother	Q2259	Vishvajati of Magadha	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother	Q51210	Vishvajati of Magadha	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother	Q161146	VISHVAJATI	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father	Q2260	Haryanka	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father	Q51215	Haryanka	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father	Q161147	Haryanka	yes
ashoka:mother:mother:father:father:father:father:father:father:mother:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:mother:father:father:father	Q2263	Shakay	yes
ashoka:mother:mother:father:father:father:father:father:father:mother:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:mother:father:father:father	Q51230	Shakay	yes
ashoka:mother:mother:father:father:father:father:father:father:mother:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:mother:father:father:father	Q161159	Shakay	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father	Q2264	Satyajiti, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father	Q51235	Satyajiti, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father	Q161160	SATYAJITI	yes
ashoka:mother:mother:father:father:father:father:father:father:mother:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:mother:father:father:father:father	Q2268	Sanjay	yes
ashoka:mother:mother:father:father:father:father:father:father:mother:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:mother:father:father:father:father	Q51245	Sanjay	yes
ashoka:mother:mother:father:father:father:father:father:father:mother:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:mother:father:father:father:father	Q161172	SANJAY	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father	Q2269	Drdhasena, King of Magadha	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father	Q51250	Drdhasena, King of Magadha	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father	Q161173	DRIDHASENA	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father	Q2272	Trinetra, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father	Q51265	Trinetra, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father	Q161185	TRINETRA	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father	Q2276	Sunetra, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father	Q51275	Sunetra, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father	Q161196	SUNETRA	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father	Q2279	Jayatsena, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father	Q51285	Jayatsena, King of Magadha	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father	Q161201	JAYATSENA	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father:father	Q2282	Srutanjaya of Magadha	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father:father	Q51295	SRUTANJAYA of Magadha	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father:father	Q161206	SRUTANJAYA	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father:father:father	Q2286	SENAJIT of Magadha	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father:father:father	Q51301	SENAJIT of Magadha	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:mother:father:father:father:father:father:father:father	Q161211	SENAJIT	NO
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:mother	via mother of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father	Q49557	N.N.	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:mother	via mother of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father	Q160469	N.N.	yes
devabhuti:mother	via mother of devabhuti	Q50416	NN (Wife of Bhagabhadra)	yes
devabhuti:mother	via mother of devabhuti	Q160778	NN (Wife of Bhagabhadra)	yes
bhagabhadra:mother	via mother of bhagabhadra	Q50468	NN (Wife of Vajramitra)	yes
bhagabhadra:mother	via mother of bhagabhadra	Q160804	NN (Wife of Vajramitra)	yes
vajramitra:mother	via mother of vajramitra	Q50528	NN (Wife of Ghosha)	yes
vajramitra:mother	via mother of vajramitra	Q160831	NN (Wife of Ghosha)	yes
ghosha:mother	via mother of ghosha	Q50601	NN (Wife of Pulindaka)	yes
ghosha:mother	via mother of ghosha	Q160859	NN (Wife of Pulindaka)	yes
pulindaka:mother	via mother of pulindaka	Q50649	NN (Wife of Bhadraka)	yes
pulindaka:mother	via mother of pulindaka	Q160883	NN (Wife of Bhadraka)	yes
bhadraka:mother	via mother of bhadraka	Q50685	NN (Wife of Vasumitra)	yes
bhadraka:mother	via mother of bhadraka	Q160901	NN (Wife of Vasumitra)	yes
vasumitra:mother	via mother of vasumitra	Q50721	Dharini	yes
vasumitra:mother	via mother of vasumitra	Q160915	Dharini	yes
pushyamitra	seed	Q50754	Pusyamitra Shunga	yes
pushyamitra	seed	Q160932	King of Shunga I - Pushyamitra Shunga (185149 BC)	yes
agnimitra:mother:mother	via mother of agnimitra:mother	Q50797	Berenike	yes
agnimitra:mother:mother	via mother of agnimitra:mother	Q160952	Berenike	yes
agnimitra:mother:mother:father	via father of agnimitra:mother:mother	Q50837	Abhisara IV of Avanti	yes
agnimitra:mother:mother:father	via father of agnimitra:mother:mother	Q160970	Abhisara IV of Avanti	yes
agnimitra:mother:mother:mother	via mother of agnimitra:mother:mother	Q50842	Princess of Syria	yes
agnimitra:mother:mother:mother	via mother of agnimitra:mother:mother	Q160971	Princess of Syria	yes
dasharatha:mother	via mother of dasharatha	Q50878	NN (Wife of Kunala of Taxila)	yes
dasharatha:mother	via mother of dasharatha	Q160985	NN (Wife of Kunala of Taxila)	yes
agnimitra:mother:mother:father:father	via father of agnimitra:mother:mother:father	Q50883	Abhisara III of Pancanada	yes
agnimitra:mother:mother:father:father	via father of agnimitra:mother:mother:father	Q160986	Abhisara III of Pancanada	yes
kunala:mother	via mother of kunala	Q50903	Padmavati Sindhu	yes
kunala:mother	via mother of kunala	Q160995	Padmavati Sindhu	yes
agnimitra:mother:mother:father:father:father	via father of agnimitra:mother:mother:father:father	Q50913	Abhisara II of Taxila	yes
agnimitra:mother:mother:father:father:father	via father of agnimitra:mother:mother:father:father	Q160997	Abhisara II of Taxila	yes
bindusara	seed	Q50943	Bindusara  Maurya, van	NO
bindusara	seed	Q161007	King of Maurya II - Bindusara (297-273 BC)	NO
agnimitra:mother:mother:father:father:father:father	via father of agnimitra:mother:mother:father:father:father	Q50948	Abhisara I of Taxila	yes
agnimitra:mother:mother:father:father:father:father	via father of agnimitra:mother:mother:father:father:father	Q161008	Abhisara I of Taxila	yes
chandragupta	seed	Q50973	Chandragupta	yes
chandragupta	seed	Q161017	Chandragupta, king of Maurya	yes
bindusara:mother	via mother of bindusara	Q50983	Durdhara	yes
bindusara:mother	via mother of bindusara	Q161019	Durdhara	yes
chandragupta:mother	via mother of chandragupta	Q51013	Mura	yes
chandragupta:mother	via mother of chandragupta	Q161030	Mura	yes
sarvarthasiddhi	seed	Q51018	Sarvarthasiddhi	yes
sarvarthasiddhi	seed	Q161031	Sarvarthasiddhi	yes
bindusara:mother:father	via father of bindusara:mother	Q51028	Dhana  Nanda	yes
bindusara:mother:father	via father of bindusara:mother	Q161033	Dhana Nanda	yes
bindusara:mother:mother	via mother of bindusara:mother	Q51033	Amitanita	yes
bindusara:mother:mother	via mother of bindusara:mother	Q161034	Amitanita	yes
chandragupta:mother:father	via father of chandragupta:mother	Q51048	Vrishala	yes
chandragupta:mother:father	via father of chandragupta:mother	Q161043	Vrishala	yes
bindusara:mother:father:father	via father of bindusara:mother:father	Q51058	Kaivarta	yes
bindusara:mother:father:father	via father of bindusara:mother:father	Q161045	Kaivarta	yes
bindusara:mother:father:father:father	via father of bindusara:mother:father:father	Q51078	Dashasiddhaka	yes
bindusara:mother:father:father:father	via father of bindusara:mother:father:father	Q161054	Dashasiddhaka	yes
bindusara:mother:father:father:father:father	via father of bindusara:mother:father:father:father	Q51094	Govishanaka	yes
bindusara:mother:father:father:father:father	via father of bindusara:mother:father:father:father	Q161063	Govishanaka	yes
bindusara:mother:father:father:father:father:father	via father of bindusara:mother:father:father:father:father	Q51109	Rashtrapala	yes
bindusara:mother:father:father:father:father:father	via father of bindusara:mother:father:father:father:father	Q161072	Rashtrapala	yes
bindusara:mother:father:father:father:father:father:father	via father of bindusara:mother:father:father:father:father:father	Q51124	Bhutapala	yes
bindusara:mother:father:father:father:father:father:father	via father of bindusara:mother:father:father:father:father:father	Q161085	Bhutapala	yes
bindusara:mother:father:father:father:father:father:father:father	via father of bindusara:mother:father:father:father:father:father:father	Q51144	Pandugati	yes
bindusara:mother:father:father:father:father:father:father:father	via father of bindusara:mother:father:father:father:father:father:father	Q161099	Pandugati	yes
ashoka:mother:mother:father:father:father:father:father:father:father:mother	via mother of ashoka:mother:mother:father:father:father:father:father:father:father	Q51159	Chellana	yes
ashoka:mother:mother:father:father:father:father:father:father:father:mother	via mother of ashoka:mother:mother:father:father:father:father:father:father:father	Q161112	Chellana	yes
bindusara:mother:father:father:father:father:father:father:father:father	via father of bindusara:mother:father:father:father:father:father:father:father	Q51169	Panduka	yes
bindusara:mother:father:father:father:father:father:father:father:father	via father of bindusara:mother:father:father:father:father:father:father:father	Q161114	Panduka	yes
bindusara:mother:father:father:father:father:father:father:father:father:father	via father of bindusara:mother:father:father:father:father:father:father:father:father	Q51194	Mahapadma Nanda	yes
bindusara:mother:father:father:father:father:father:father:father:father:father	via father of bindusara:mother:father:father:father:father:father:father:father:father	Q161131	Mahapadma Nanda	yes
bindusara:mother:father:father:father:father:father:father:father:father:father:father	via father of bindusara:mother:father:father:father:father:father:father:father:father:father	Q51220	Mahanandin	yes
bindusara:mother:father:father:father:father:father:father:father:father:father:father	via father of bindusara:mother:father:father:father:father:father:father:father:father:father	Q161148	Mahanandin	yes
bindusara:mother:father:father:father:father:father:father:father:father:father:father:father	via father of bindusara:mother:father:father:father:father:father:father:father:father:father:father	Q51240	Kakavarna Kalashoka	yes
bindusara:mother:father:father:father:father:father:father:father:father:father:father:father	via father of bindusara:mother:father:father:father:father:father:father:father:father:father:father	Q161161	Kakavarna Kalashoka	yes
bindusara:mother:father:father:father:father:father:father:father:father:father:father:father:father	via father of bindusara:mother:father:father:father:father:father:father:father:father:father:father:father	Q51255	Shishunaga	yes
bindusara:mother:father:father:father:father:father:father:father:father:father:father:father:father	via father of bindusara:mother:father:father:father:father:father:father:father:father:father:father:father	Q161174	Shishunaga	yes
agnimitra:mother:mother:father:father:father:father:father	via father of agnimitra:mother:mother:father:father:father:father	Q78953	Orontes I	yes
agnimitra:mother:mother:father:father:father:father:mother	via mother of agnimitra:mother:mother:father:father:father:father	Q78956	Rhodogune	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	Q153455	SUNAKSHTRA MARUDEVA	yes
ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	via father of ashoka:mother:mother:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father:father	Q160680	SUNAKSHTRA Marudeva	yes
