verdict	role	child	child_label	a	a_label	b	b_label	a_wd	b_wd	a_kind	b_kind	shared_parents	shared_spouses
ABSENT	father	Q2469	Helleno-Armenian	Q2419	South Indo European Languages	Q52697				real	phantom	Q2380,Q51516	
ABSENT	father	Q2470	Shapur	Q2468	Ardashir	Q52892				real	phantom	Q2467	
ABSENT	father	Q2471	Bahram	Q2470	Shapur	Q51650				real	phantom	Q2468	
ABSENT	father	Q2472	Qobad	Q2471	Bahram	Q52914				real	phantom	Q2470	
ABSENT	father	Q2473	Kavus	Q2472	Qobad	Q52918				real	phantom	Q2471	
ABSENT	father	Q2474	Khosrow	Q2473	Kavus	Q52922				real	phantom	Q2472	
ABSENT	father	Q2475	Lohurasp	Q2474	Khosrow	Q52926				real	phantom	Q2473	
ABSENT	father	Q2476	Vishtaspa	Q2465	Lohrasp	Q52880				real	phantom		
ABSENT	father	Q2479	Homai	Q29304	Bahman  King of Iran	Q52868				real	phantom	Q29108	
ABSENT	father	Q2480	Greek	Q2469	Helleno-Armenian	Q52896				real	phantom	Q2419	
ABSENT	father	Q2481	Armenian	Q2469	Helleno-Armenian	Q52896				real	phantom	Q2419	
ABSENT	father	Q2482	Phrygian	Q2469	Helleno-Armenian	Q52896				real	phantom	Q2419	
ABSENT	father	Q2483	Albanian	Q2469	Helleno-Armenian	Q52896				real	phantom	Q2419	
ABSENT	father	Q2488	Indo-Aryan	Q2419	South Indo European Languages	Q52697				real	phantom	Q2380,Q51516	
ABSENT	father	Q2494	Mursili II	Q2497	Suppiluliuma I	Q53018		Q354903		real	phantom	Q2508	Q51890,Q51906
ABSENT	father	Q2496	Indic (Vedic)	Q2488	Indo-Aryan	Q52982				real	phantom	Q2419	
ABSENT	father	Q2498	Arnuwanda II	Q2497	Suppiluliuma I	Q53018		Q354903		real	phantom	Q2508	Q51890,Q51906
ABSENT	father	Q2502	Ulmi-Teshup - Mursili III	Q2495	Muwatalli II	Q53010		Q311650		real	phantom	Q2494	
ABSENT	father	Q2503	Urhi-Teshup	Q2495	Muwatalli II	Q53010		Q311650		real	phantom	Q2494	
ABSENT	father	Q2505	Iranic	Q2488	Indo-Aryan	Q52982				real	phantom	Q2419	
ABSENT	father	Q2506	Muwatti	Q2497	Suppiluliuma I	Q53018		Q354903		real	phantom	Q2508	Q51890,Q51906
ABSENT	father	Q2510	Zannanza	Q29461	Zannanza, King of the Hittites	Q53034				real	phantom	Q2497,Q51890	
ABSENT	father	Q2513	Italic	Q2451	Italo-Celtic	Q52824				real	phantom	Q2408	
ABSENT	father	Q2514	Asmu-nikal	Q29517	Tudhaliya	Q53090				real	phantom	Q29529,Q51934	Q51930
ABSENT	father	Q2516	Arnuwanda I	Q29517	Tudhaliya	Q53090				real	phantom	Q29529,Q51934	Q51930
ABSENT	father	Q2520	Celtic	Q2451	Italo-Celtic	Q52824				real	phantom	Q2408	
ABSENT	mother	Q2522	Muwatalli I	Q2521	Summiri	Q53113				real	phantom	Q153053	
ABSENT	father	Q2530	Baltic	Q2461	Balto-Slavic	Q52864				real	phantom	Q2408	
ABSENT	father	Q2541	Slavic	Q2461	Balto-Slavic	Q52864				real	phantom	Q2408	
ABSENT	father	Q2553	E1b1b1a (V68)	Q2551	E1b1b1 (M35)	Q53233				real	phantom	Q29658	
ABSENT	father	Q2554	E1b1b1b (Z827)	Q2551	E1b1b1 (M35)	Q53233				real	phantom	Q29658	
ABSENT	father	Q2555	E-M81	Q2554	E1b1b1b (Z827)	Q53245				real	phantom	Q2551	
ABSENT	father	Q2556	E-M123	Q2554	E1b1b1b (Z827)	Q53245				real	phantom	Q2551	
ABSENT	father	Q2557	E-M78	Q2553	E1b1b1a (V68)	Q53241				real	phantom	Q2551	
ABSENT	father	Q2558	E-V2729	Q2553	E1b1b1a (V68)	Q53241				real	phantom	Q2551	
ABSENT	father	Q2559	E-V12	Q2557	E-M78	Q53257				real	phantom	Q2553	
ABSENT	father	Q2560	E-V65	Q2557	E-M78	Q53257				real	phantom	Q2553	
ABSENT	father	Q2562	E-V22	Q2557	E-M78	Q53257				real	phantom	Q2553	
ABSENT	father	Q2568	Samoyedic	Q29726	Nural  Uralic languages	Q53298				real	phantom	Q152988	
ABSENT	father	Q2569	Finno-Ugric	Q29726	Nural  Uralic languages	Q53298				real	phantom	Q152988	
ABSENT	father	Q2570	Ugric	Q2569	Finno-Ugric	Q53306				real	phantom	Q29726	
ABSENT	father	Q2571	Hungarian	Q2570	Ugric	Q53310				real	phantom	Q2569	
ABSENT	father	Q2572	Ob-Ugric	Q2570	Ugric	Q53310				real	phantom	Q2569	
ABSENT	father	Q2614	Euthydemus	Q2615	Antialcidas III	Q53490				real	phantom	Q2616	
ABSENT	father	Q2615	Antialcidas III	Q2616	Antialcidas II	Q53494				real	phantom	Q29926	
ABSENT	father	Q2616	Antialcidas II	Q29926	Apollodotus  I	Q53498				real	phantom	Q2618	
ABSENT	mother	Q2618	Antialcidas I	Q53506		Q135746	Agathoclea		Q391426	phantom	real	Q29939	
ABSENT	father	Q3043	Lanthanolania	Q3032	Orovenator	Q55195				real	phantom		
ABSENT	father	Q3153	Thalattosauria	Q3142	Ichthyosauromorpha	Q55635				real	phantom	Q3087	
ABSENT	father	Q3175	Hupehsuchia	Q32158	Neodiapsida	Q55725				real	phantom	Q3142	
ABSENT	father	Q3186	Ichthyopterygia	Q32158	Neodiapsida	Q55725				real	phantom	Q3142	
ABSENT	father	Q3197	Archosauromorpha (=Archelosauria)	Q32026	Sauria  Sauria	Q55592				real	phantom	Q3087	
ABSENT	father	Q3207	Lepidosauromorpha	Q32026	Sauria  Sauria	Q55592				real	phantom	Q3087	
ABSENT	father	Q3271	Placodontia	Q32459	Pantestudines	Q56024				real	phantom		
ABSENT	father	Q3293	Sinosaurosphargis	Q32548	Pantestudines	Q56112				real	phantom	Q32459	
ABSENT	father	Q3304	Testudinata	Q32632	Pantestudines	Q56190				real	phantom	Q32548	
ABSENT	father	Q3315	Odontochelys	Q32632	Pantestudines	Q56190				real	phantom	Q32548	
ABSENT	father	Q3337	Proganochelys	Q3304	Testudinata	Q56256				real	phantom	Q32632	
ABSENT	father	Q3381	Prolacertiformes	Q32897	Archosauromorpha	Q56387				real	phantom		
ABSENT	father	Q3447	Proterosuchidae	Q3524		Q56519				phantom	phantom	Q32985	
ABSENT	father	Q3458	Archosaurus	Q3447	Proterosuchidae	Q56684				real	phantom		
ABSENT	father	Q3469	Proterosuchus	Q3447	Proterosuchidae	Q56684				real	phantom		
ABSENT	father	Q3546	Tropidosuchus	Q3535	Proterochampsia	Q56949				real	phantom	Q33514	
ABSENT	father	Q3557	Chanaresuchus	Q3535	Proterochampsia	Q56949				real	phantom	Q33514	
ABSENT	father	Q3590	Archosauria	Q3568	Crurotarsi	Q57049				real	phantom	Q33604	
ABSENT	father	Q3654	Avemetatarsalia	Q3590	Archosauria	Q57115				real	phantom	Q3568	
ABSENT	father	Q3665	Pseudosuchia	Q3590	Archosauria	Q57115				real	phantom	Q3568	
ABSENT	father	Q4188	Ornithosuchidae	Q3665	Pseudosuchia	Q57339				real	phantom	Q3590	
ABSENT	father	Q4285	Loricata	Q4263	Paracrocodylomorpha	Q59131				real	phantom	Q36322	
ABSENT	father	Q4296	Poposauroidea	Q4263	Paracrocodylomorpha	Q59131				real	phantom	Q36322	
ABSENT	father	Q4301	Ornithodira	Q3654	Avemetatarsalia	Q57306				real	phantom	Q3590	
ABSENT	father	Q4311	Aphanosauria	Q3654	Avemetatarsalia	Q57306				real	phantom	Q3590	
ABSENT	father	Q4322	Dinosauromorpha	Q4301	Ornithodira	Q59247				real	phantom	Q3654	
ABSENT	father	Q4333	Pterosauromorpha	Q4301	Ornithodira	Q59247				real	phantom	Q3654	
ABSENT	father	Q4344	Dinosauriformes	Q4322	Dinosauromorpha	Q59310				real	phantom	Q4301	
ABSENT	father	Q4355	Lagerpetidae	Q4322	Dinosauromorpha	Q59310				real	phantom	Q4301	
ABSENT	father	Q4366	Dracohors	Q4344	Dinosauriformes	Q59374				real	phantom	Q4322	
ABSENT	father	Q4377	Marasuchus	Q4344	Dinosauriformes	Q59374				real	phantom	Q4322	
ABSENT	father	Q4388	Dinosauria	Q4366	Dracohors	Q59440				real	phantom	Q4344	
ABSENT	father	Q4399	Silesauridae	Q4366	Dracohors	Q59440				real	phantom	Q4344	
ABSENT	father	Q4410	Saurischia	Q4388	Dinosauria	Q59506				real	phantom	Q4366	
ABSENT	father	Q4421	Ornithischia	Q4388	Dinosauria	Q59506				real	phantom	Q4366	
ABSENT	father	Q4432	Theropoda	Q4410	Saurischia	Q59572				real	phantom	Q4388	
ABSENT	father	Q4443	Sauropodomorpha	Q4410	Saurischia	Q59572				real	phantom	Q4388	
ABSENT	father	Q4630	Meshullemeth	Q4631	Haruz	Q60237		Q115804881		real	phantom		
ABSENT	father	Q4881	Daughter	Q2497	Suppiluliuma I	Q53018		Q354903		real	phantom	Q2508	Q51890,Q51906
ABSENT	father	Q26609	BHARUK	Q2354	VIJAY aka Dhruvasandhi	Q52436				real	phantom	Q2357	
ABSENT	father	Q28300	SAHADEVA of Magadha  Jarasandha	Q28308	JARASANDHA  Brihadratha	Q52264				real	phantom	Q28320,Q51341	Q51331
ABSENT	father	Q28308	JARASANDHA  Brihadratha	Q28320	King VRIHADRATHA	Q52276				real	phantom	Q51352,Q153399	Q51341
ABSENT	father	Q28308	JARASANDHA  Brihadratha	Q28320	King VRIHADRATHA	Q53518				real	phantom	Q51352,Q153399	
ABSENT	father	Q28308	JARASANDHA  Brihadratha	Q52276		Q53518				phantom	phantom	Q51352,Q153399	
ABSENT	father	Q28364	RAGHU  Dirghabahu	Q28376	Solar Dynasty	Q52332				real	phantom	Q29558	
ABSENT	father	Q28364	RAGHU  Dirghabahu	Q28376	Solar Dynasty	Q53583				real	phantom		
ABSENT	father	Q28364	RAGHU  Dirghabahu	Q30011	BHAGIRATHA  son of Dilipa	Q52332				real	phantom		
ABSENT	father	Q28364	RAGHU  Dirghabahu	Q30011	BHAGIRATHA  son of Dilipa	Q53583				real	phantom	Q28388,Q51412	
ABSENT	father	Q28364	RAGHU  Dirghabahu	Q52332		Q53583				phantom	phantom		
ABSENT	father	Q28376	Solar Dynasty	Q29558	Animitra  Solar Dynasty	Q53129				real	phantom	Q29562	
ABSENT	father	Q28425	SAUDAS (MITRASAH)  SUDAAS	Q2343	SUDAAS & SARVAKAMA	Q52392				real	phantom	Q2346	
ABSENT	father	Q28425	SAUDAS (MITRASAH)  SUDAAS	Q51437	SUDAAS & SARVAKAMA	Q52392				real	phantom	Q2346	
ABSENT	father	Q28429	of Vedic period	Q2344	BAHUKA	Q52396				real	phantom	Q2347	
ABSENT	father	Q28429	of Vedic period	Q51442	BAHUKA	Q52396				real	phantom		
ABSENT	father	Q28905	HARIT (Mandhata)  Yuvanashva	Q28913	ROHITASHVA (Yuvanashva)	Q52480				real	phantom	Q28921,Q51471	
ABSENT	father	Q28913	ROHITASHVA (Yuvanashva)	Q28921	HARISHCHANDRA (Dhundumara)  Trishanku	Q52488				real	phantom	Q2369	Q51471
ABSENT	father	Q28921	HARISHCHANDRA (Dhundumara)  Trishanku	Q2369	SATYAVRATA aka Trishanku	Q52496				real	phantom	Q2372	
ABSENT	father	Q28921	HARISHCHANDRA (Dhundumara)  Trishanku	Q51475	SATYAVRATA aka Trishanku	Q52496				real	phantom		
ABSENT	father	Q28970	NIMI  Ikshvaku	Q28982	Ikshvaku	Q52548				real	phantom	Q29963,Q50184	
ABSENT	father	Q28998	AMBARISHA  Mandhata	Q29002	MANDHATA of Ikshvaku Dynasty	Q52568				real	phantom	Q2389,Q51520	Q29006
ABSENT	father	Q29014	Prasenajit 1  Ikshvaku	Q2391	Krishasva	Q52584				real	phantom	Q2392	
ABSENT	father	Q29014	Prasenajit 1  Ikshvaku	Q51532	Krishasva	Q52584				real	phantom		
ABSENT	father	Q29072	PRITHU  ANARANYA	Q29076	ANARANYA aka Anena  Bana	Q52640				real	phantom	Q29080	
ABSENT	father	Q29076	ANARANYA aka Anena  Bana	Q29080	PURANJAYA aka Kakutsta aka Bana  Vikukshi	Q52644				real	phantom	Q29084	
ABSENT	father	Q29092	KUKSHI  Ikshvaku	Q28982	Ikshvaku	Q52548				real	phantom	Q29963,Q50184	
ABSENT	father	Q29096	Vishtaspa  Raja Iran	Q29100	Kay Lohrasp (aurvataspa)  Raja Iran	Q52665				real	phantom	Q29140	
ABSENT	father	Q29108	Isfandiyar \ Spandodata \ Isfendiyar \ Spendoclata  Raja Iran	Q29096	Vishtaspa  Raja Iran	Q52661				real	phantom	Q29100	Q2412
ABSENT	father	Q29116	Peroshtan  Raja Iran	Q29112	Vishtasp II \ Vishtaspa  Raja Iran	Q52677				real	phantom	Q29108	
ABSENT	father	Q29120	Tchishpish - Raja Iran  Raja Iran	Q29116	Peroshtan  Raja Iran	Q52681				real	phantom		
ABSENT	father	Q29124	Kambujiya  Raja Iran	Q29120	Tchishpish - Raja Iran  Raja Iran	Q52685				real	phantom	Q29116	
ABSENT	father	Q29128	Kuras  Raja Iran	Q29124	Kambujiya  Raja Iran	Q52689				real	phantom	Q29120	
ABSENT	father	Q29136	Zoroaster	Q29184	Pourushasp  Spitama	Q52749				real	phantom	Q29188	Q51580
ABSENT	father	Q29140	kay kaus  Raja Iran	Q29156	kay apiveh  Raja Iran	Q52721				real	phantom	Q29160	
ABSENT	father	Q29144	kay uyarsh  Raja Iran	Q29152	kay arsh  Raja Iran	Q52717				real	phantom	Q29156	
ABSENT	father	Q29152	kay arsh  Raja Iran	Q29156	kay apiveh  Raja Iran	Q52721				real	phantom	Q29160	
ABSENT	father	Q29156	kay apiveh  Raja Iran	Q29160	kay kavadh  Raja Iran	Q52725				real	phantom	Q29168	
ABSENT	father	Q29160	kay kavadh  Raja Iran	Q29168	auzobo  Raja Iran	Q52733				real	phantom	Q29172	
ABSENT	father	Q29168	auzobo  Raja Iran	Q29172	Agairnasuak  Raja Iran	Q52737				real	phantom	Q29176	
ABSENT	father	Q29172	Agairnasuak  Raja Iran	Q29176	Hanoch  Raja Iran	Q52741				real	phantom	Q29180	
ABSENT	father	Q29176	Hanoch  Raja Iran	Q29180	Midian  Raja Iran	Q52745				real	phantom	Q1341	
ABSENT	father	Q29184	Pourushasp  Spitama	Q29188	Peteretrasp  Spitama	Q52753				real	phantom	Q29192	
ABSENT	father	Q29188	Peteretrasp  Spitama	Q29192	Aurogdaspa  Spitama	Q52756				real	phantom	Q29196	
ABSENT	father	Q29192	Aurogdaspa  Spitama	Q29196	Haechatasp  Spitama	Q52760				real	phantom	Q29204	
ABSENT	father	Q29196	Haechatasp  Spitama	Q29204	Chakhshnush  Spitama	Q52768				real	phantom	Q29208	
ABSENT	father	Q29204	Chakhshnush  Spitama	Q29208	Petirasp  Spitama	Q52772				real	phantom	Q29212	
ABSENT	father	Q29208	Petirasp  Spitama	Q29212	Arej  Darshane	Q52776				real	phantom	Q2440	
ABSENT	father	Q29212	Arej  Darshane	Q2440	Hardaar	Q52780				real	phantom	Q2441	
ABSENT	father	Q29212	Arej  Darshane	Q51588	Hardaar	Q52780				real	phantom		
ABSENT	father	Q29292	kay khusraw  Raja Iran	Q29288	siyavakhsh  Raja Iran	Q52852				real	phantom	Q29140	
ABSENT	father	Q29296	Arasti  Spitama	Q29192	Aurogdaspa  Spitama	Q52756				real	phantom	Q29196	
ABSENT	father	Q29304	Bahman  King of Iran	Q29108	Isfandiyar \ Spandodata \ Isfendiyar \ Spendoclata  Raja Iran	Q52673				real	phantom	Q2412,Q29096	
ABSENT	father	Q29360	Vishtaspa	Q2475	Lohurasp	Q52930				real	phantom	Q2474	
ABSENT	father	Q29453	of the Hittites	Q2497	Suppiluliuma I	Q53018		Q354903		real	phantom	Q2508	Q51890,Q51906
ABSENT	father	Q29457	of the Hittites	Q2497	Suppiluliuma I	Q53018		Q354903		real	phantom	Q2508	Q51890,Q51906
ABSENT	father	Q29461	Zannanza, King of the Hittites	Q2497	Suppiluliuma I	Q53018		Q354903		real	phantom	Q2508	Q51890,Q51906
ABSENT	father	Q29473	? Ulmi-Teshub \ Teszub (Niewolnica Teszuba)  Teszub (Niewolnica Teszuba)	Q2495	Muwatalli II	Q53010		Q311650		real	phantom	Q2494	
ABSENT	father	Q29473	? Ulmi-Teshub \ Teszub (Niewolnica Teszuba)  Teszub (Niewolnica Teszuba)	Q51878	Muwatalli II	Q53010				real	phantom		
ABSENT	father	Q29525	of KHATTI (1495-1430bc)	Q29517	Tudhaliya	Q53090				real	phantom	Q29529,Q51934	Q51930
ABSENT	mother	Q29529	Princess of the Hittites	Q2521	Summiri	Q53113				real	phantom	Q153053	
ABSENT	father	Q29558	Animitra  Solar Dynasty	Q29562	Nidhna  Solar Dynasty	Q53133				real	phantom	Q29566	
ABSENT	father	Q29562	Nidhna  Solar Dynasty	Q29566	Vishvamashaha  Solar Dynasty	Q53137				real	phantom	Q29570	
ABSENT	father	Q29566	Vishvamashaha  Solar Dynasty	Q29570	Ilibil or Ananaranya III  Solar Dynasty	Q53141				real	phantom	Q29574	
ABSENT	father	Q29570	Ilibil or Ananaranya III  Solar Dynasty	Q29574	Dasharatha I  Solar Dynasty	Q53145				real	phantom	Q29582	
ABSENT	father	Q29574	Dasharatha I  Solar Dynasty	Q29582	Mulaka or Sarvakama II  Solar Dynasty	Q53153				real	phantom	Q29586	
ABSENT	father	Q29582	Mulaka or Sarvakama II  Solar Dynasty	Q29586	Asmaka (Asmaka)  Solar Dynasty	Q53157				real	phantom	Q29590	
ABSENT	father	Q29586	Asmaka (Asmaka)  Solar Dynasty	Q29590	Kalmashapada  Solar Dynasty	Q53161				real	phantom	Q29594	
ABSENT	father	Q29590	Kalmashapada  Solar Dynasty	Q29594	Sudasa  Solar Dynasty	Q53165				real	phantom	Q29598	
ABSENT	father	Q29594	Sudasa  Solar Dynasty	Q29598	Sarvakama I  Solar Dynasty	Q53169				real	phantom	Q29602	
ABSENT	father	Q29598	Sarvakama I  Solar Dynasty	Q29602	Rituparna  Solar Dynasty	Q53173				real	phantom	Q29606	
ABSENT	father	Q29602	Rituparna  Solar Dynasty	Q29606	Pratayu  Solar Dynasty	Q53177				real	phantom	Q29610	
ABSENT	father	Q29606	Pratayu  Solar Dynasty	Q29610	Ayutayu  Solar Dynasty	Q53181				real	phantom	Q29614	
ABSENT	father	Q29610	Ayutayu  Solar Dynasty	Q29614	Shindhudvipa  Solar Dynasty	Q53185				real	phantom	Q29618	
ABSENT	father	Q29614	Shindhudvipa  Solar Dynasty	Q29618	Ambarisha II  Solar Dynasty	Q53189				real	phantom	Q29626	
ABSENT	father	Q29618	Ambarisha II  Solar Dynasty	Q29626	Nabhaga  Solar Dynasty	Q53197				real	phantom	Q29630	
ABSENT	father	Q29626	Nabhaga  Solar Dynasty	Q29630	Raghu I  Solar Dynasty	Q53201				real	phantom	Q29634	
ABSENT	father	Q29630	Raghu I  Solar Dynasty	Q29634	Kukutsa II  Solar Dynasty	Q53205				real	phantom	Q29638	
ABSENT	father	Q29634	Kukutsa II  Solar Dynasty	Q29638	Shruti  Solar Dynasty	Q53209				real	phantom	Q29642	
ABSENT	father	Q29638	Shruti  Solar Dynasty	Q29642	Suhotra  Solar Dynasty	Q53213				real	phantom	Q29646	
ABSENT	father	Q29642	Suhotra  Solar Dynasty	Q29646	Bhagiratha  Solar Dynasty	Q53217				real	phantom	Q28388,Q51412	
ABSENT	father	Q29646	Bhagiratha  Solar Dynasty	Q28388	DILIPA 1  Anshuman	Q52344				real	phantom	Q2335,Q51417	Q51412
ABSENT	father	Q29702	Balkans  E-V13	Q2557	E-M78	Q53257				real	phantom	Q2553	
ABSENT	father	Q29762	2  Haplogroup G	Q29758	1  Haplogroup G	Q53330				real	phantom	Q152981	
ABSENT	father	Q29766	Malcolm  Mureybet	Q29770	George Gobekli	Q53342				real	phantom	Q29774	Q29782
ABSENT	mother	Q29766	Malcolm  Mureybet	Q29782	Xenia  Haplogroup X	Q53354				real	phantom	Q29786	
ABSENT	father	Q29774	4  Haplogroup G	Q29778	3  Haplogroup G	Q53350				real	phantom	Q29762	
ABSENT	father	Q29778	3  Haplogroup G	Q29762	2  Haplogroup G	Q53334				real	phantom	Q29758	
ABSENT	father	Q29794	7  Haplogroup J1	Q29798	6  Haplogroup J1	Q53370				real	phantom	Q29802	
ABSENT	father	Q29798	6  Haplogroup J1	Q29802	5  Haplogroup J1	Q53374				real	phantom	Q29806	
ABSENT	father	Q29802	5  Haplogroup J1	Q29806	4  Haplogroup J1	Q53378				real	phantom	Q29810	
ABSENT	father	Q29806	4  Haplogroup J1	Q29810	Generation 3  Haplogroup J1	Q53382				real	phantom	Q29710	
ABSENT	father	Q29814	Horus Parallel  Haplogroup G2	Q29818	Greek Parallel  Haplogroup G2	Q53390				real	phantom	Q29822	
ABSENT	father	Q29818	Greek Parallel  Haplogroup G2	Q29822	Helleno-Armenian Parallel  Haplogroup G2	Q53394				real	phantom	Q29826	
