qid,english_label,english_description,label_count,description_count,wikidata_qids,wikidata_count
Q16448,Sok Naehae,King of Korean Silla dynasty from 196 to 230,16,4,Q496614; Q496614; Q496614,3
Q16449,Sok Uro,,10,1,Q5368339; Q5368339; Q5368339,3
Q16450,Heulhae,the king of the Silla dynasty of Korea,16,3,Q496697; Q496697; Q496697,3
Q16451,Girim of Silla,King of Silla,18,3,Q485627; Q485627; Q485627,3
Q16452,,,1,0,Q84764619; Q84764619; Q84764619,3
Q16453,Kim Hyoyang,,5,2,Q12589365; Q12589365; Q12589365,3
Q16454,Queen Gyeongsu,,7,1,Q16163533; Q16163533; Q16163533,3
Q16455,Phu nhân Sammo,,3,0,Q84688880; Q84688880; Q84688880,3
Q16456,Hyegong of Silla,ruler of Silla,21,4,Q496772; Q496772; Q496772,3
Q16457,Chwihui of Geumgwan Gaya,Ruler of Gaya,15,2,Q491122; Q491122; Q491122,3
Q16461,Danyang,daughter of emperor Gaozu,5,2,Q10877398; Q10877398; Q10877398,3
Q16462,Jiujiang,daughter of emperor Gaozu,5,2,Q10878912; Q10878912; Q10878912,3
Q16463,Qianjin,daughter of emperor Gaozu,7,3,Q10905008; Q10905008; Q10905008,3
Q16464,Nanchang,daughter of emperor Gaozu,5,2,Q10908057; Q10908057; Q10908057,3
Q16465,Anping,daughter of emperor Gaozu,5,2,Q10946662; Q10946662; Q10946662,3
Q16466,Changle,daughter of emperor Gaozu,6,2,Q11060429; Q11060429; Q11060429,3
Q16468,Luling,daughter of emperor Gaozu,5,2,Q11064905; Q11064905; Q11064905,3
Q16469,Fangling,daughter of emperor Gaozu,6,2,Q11496708; Q11496708; Q11496708,3
Q16470,Li Chengxia,daughter of emperor Gaozu,4,2,Q11152626; Q11152626; Q11152626,3
Q16472,Zhending,daughter of emperor Gaozu,5,2,Q16603543; Q16603543; Q16603543,3
Q16473,Linhai,daughter of emperor Gaozu,5,2,Q16603582; Q16603582; Q16603582,3
Q16474,Wanchun,daughter of emperor Gaozu,6,2,Q15951700; Q15951700; Q15951700,3
Q16475,Hengyang,daughter of emperor Gaozu,6,2,Q15955551; Q15955551; Q15955551,3
Q16476,Xiangyang,daughter of emperor Gaozu,5,2,Q16603624; Q16603624; Q16603624,3
Q16477,Changsha,eldest daughter of emperor Gaozu,9,2,Q16603689; Q16603689; Q16603689,3
Q16478,Guantao,daughter of emperor Gaozu,5,2,Q16603735; Q16603735; Q16603735,3
Q16479,Gaomi,daughter of emperor Gaozu,11,2,Q11669188; Q11669188; Q11669188,3
Q16480,Li Yuanheng,son of emperor Gaozu,5,2,Q11095406; Q11095406; Q11095406,3
Q16488,Li Yuanfang,son of emperor Gaozu,5,2,Q11095420; Q11095420; Q11095420,3
Q16489,Li Yuanchang,son of emperor Gaozu,5,1,Q11095421; Q11095421; Q11095421,3
Q16490,Li Yuanjing,son of emperor Gaozu,7,3,Q11095423; Q11095423; Q11095423,3
Q16496,Li Jiancheng,crown prince of the Tang Dynasty in China (589-626),23,8,Q711674; Q711674; Q711674,3
Q16497,Li Zhiyun,son of emperor Gaozu,5,2,Q11096905; Q11096905; Q11096905,3
Q16498,Li Xuanba,son of emperor Gaozu,11,3,Q4308304; Q4308304; Q4308304,3
Q16500,Liu Shi,daughter of Liu De Wei,8,2,Q65803435; Q65803435; Q65803435,3
Q16506,Li Ji,"person, CBDB = 143323",8,1,Q45618627; Q45618627; Q45618627,3
Q16508,Haji no Iwabi,,2,0,Q97613637; Q97613637; Q97613637,3
Q16516,Kusunoki Masatoyo,,4,1,Q11541204; Q11541204; Q11541204,3
Q16517,Kusunoki Masasue,,4,1,Q11541197; Q11541197; Q11541197,3
Q16518,Iga no Tsubone,,7,3,Q11380655; Q11380655; Q11380655,3
Q16519,Kusunoki Masakatsu,,2,1,Q11541195; Q11541195; Q11541195,3
Q16520,Kusunoki Masamoto,,3,1,Q11541194; Q11541194; Q11541194,3
Q16521,Kusunoki Masahide,samurai,6,2,Q11541200; Q11541200; Q11541200,3
Q16526,Uesugi Tomomasa,samurai of the early-Sengoku period,6,3,Q11359209; Q11359209; Q11359209,3
Q16528,Miura Takahira,,3,2,Q11356601; Q11356601; Q11356601,3
Q16530,Uesugi Sadamasa,,4,1,Q11359153; Q11359153; Q11359153,3
Q16534,Uesugi Fusasada,,2,1,Q11359189; Q11359189; Q11359189,3
Q16536,Uesugi Fusatomo,,4,0,Q11359192; Q11359192; Q11359192,3
Q16537,Uesugi Noritada,,4,1,Q11359174; Q11359174; Q11359174,3
Q16538,Uesugi Fusaaki,military commander and a shugo daimyo in the middle of the Muromachi period. Muromachi Shogunate Kanto Kanrei. The 10th generation of the Yamauchi Uesugi family. The second son of Norimi Uesugi. Shosuke Hyōbu,3,2,Q11359193; Q11359193; Q11359193,3
Q16543,Satake Yoshitoshi,,3,1,Q11383423; Q11383423; Q11383423,3
Q16544,Satake Sanesada,military commander in the middle of the Muromachi period. Yoshito Satake's second son. His son was Yoshitaka Satake,2,2,Q106806616; Q106806616; Q106806616,3
Q16547,Nasu Sukeyuki,,3,2,Q11642958; Q11642958,2
Q16551,Yamana Toyoyuki,,4,1,Q11467630; Q11467630,2
Q16553,Yamana Toyoyasu,,3,0,Q119341174; Q119341174,2
Q16556,Shiba Yoshikado,,6,0,Q11500865; Q11500865,2
Q16557,Rokkaku Takayori,Japanese daimyō,11,6,Q2890348; Q2890348,2
Q16558,Ujitsuna Rokkaku,,5,1,Q11392543; Q11392543,2
Q16559,Kira Yoshifuji,,3,0,Q11414266; Q11414266,2
Q16562,Hosokawa Katsumoto,daimyo,26,12,Q740354; Q740354,2
Q16563,Hosokawa Masamoto,daimyo,17,8,Q5365082; Q5365082,2
Q16567,Satake Yoshikiyo,,3,1,Q11383467; Q11383467,2
Q16568,Iwaki Shigetaka,,3,2,Q11266411; Q11266411,2
Q16569,Tamura Yoshiaki,Daimyo of the Sengoku period,13,8,Q6203781; Q6203781,2
Q16571,Nasu Takasuke,,5,2,Q11642987; Q11642987,2
Q16574,Satake Yoshiaki,,7,2,Q11383447; Q11383447,2
Q16579,Ashikaga Yasuoumaru,,3,1,Q21019758; Q21019758,2
Q16580,Shiba Yoshitoyo,,3,0,Q11500869; Q11500869,2
Q16581,Shiba Yoshitake,,4,1,Q11500862; Q11500862,2
Q16585,Mogami Mitsuie,,4,0,Q11515453; Q11515453,2
Q16586,Rokkaku Masayori,,3,1,Q11392538; Q11392538,2
Q16587,Rokkaku Masataka,,4,1,Q11392539; Q11392539,2
Q16588,Taga Takatada,samurai of the late Muromachi period,9,3,Q6151650; Q6151650,2
Q16592,Amago Kiyosada,,5,2,Q11464922; Q11464922,2
Q16593,Akamatsu Norisuke,,3,1,Q11635723; Q11635723,2
Q16594,Akamatsu Ujinori,,3,2,Q11635705; Q11635705,2
Q16597,Akamatsu Mitsumasa,,12,2,Q11635709; Q11635709,2
Q16598,Arima Mochiie,,7,0,Q11516787; Q11516787,2
Q16602,Akamatsu Noriyasu,,7,1,Q11635692; Q11635692,2
Q16605,Lady NN Kujo-no-Fujiwara,,1,0,Q131731029; Q131731029,2
Q16610,Kira Yoshinobu,,3,2,Q11414252; Q11414252,2
Q16611,Kira Mochisuke,,3,0,Q11414233; Q11414233,2
Q16614,Isshiki Masateru,,5,1,Q11353117; Q11353117,2
Q16615,Isshiki Yoshinao,daimyo of the Muromachi period,6,3,Q11353153; Q11353153,2
Q16616,Isshiki Norichika,,5,1,Q11353118; Q11353118,2
Q16617,Matsudaira Nobumitsu,samurai of the Muromachi period; 3rd head of Matsudaira clan,10,4,Q11239114; Q11239114,2
Q16618,Matsudaira Chikatada,[松平親忠] head of main line of Matsudaira clan (Anjō-Matsudaira clan) in the middle Muromachi period,7,3,Q11239171; Q11239171,2
Q16619,Utsunomiya Mochitsuna,,3,1,Q11449766; Q11449766,2
Q16621,Chiba Tanenobu,Japanese military commander,5,2,Q11406723; Q11406723,2
Q16623,Chiba Sanetane,,4,1,Q11405982; Q11405982,2
Q16625,Chiba Noritane,,5,1,Q11405976; Q11405976,2
Q16630,daughter of Norihiro Ouchi,wife of Ōtomo Masachika,2,1,Q112058232; Q112058232,2
Q16643,Shionoya Yoshitaka,,3,1,Q11428921; Q11428921,2
Q16644,Oda Shigeharu,,4,1,Q11463123; Q11463123,2
Q16647,Utsunomiya Kunitsuna,,7,3,Q11449719; Q11449719,2
Q16650,Yanada Mochisuke,military commander,2,1,Q11603874; Q11603874,2
Q16653,Isshiki Naotomo,Japanese painter (1526-1597),6,22,Q11353137; Q11353137,2
Q16655,Ise Sadakuni,,5,1,Q11379127; Q11379127,2
Q16656,Takahashi Takatane,Japanese military commander,4,3,Q11671720; Q11671720,2
Q16657,Takahashi Ujitaka,Japanese military commander,2,3,Q18337218; Q18337218,2
Q16668,Imagawa Sadanobu,daimyo of the mid-Muromachi period,5,2,Q11376947; Q11376947,2
Q16672,Koga Michikata,,5,1,Q11369383; Q11369383,2
Q16681,Konoe Sakihisa,Japanese noble (1536-1612),29,16,Q1185323; Q1185323,2
Q16687,Ashikaga Yoshiharu,12th shōgun of the Ashikaga shogunate of Japan (1521–1546),30,12,Q536313; Q536313,2
Q16688,Ashikaga Yoshiteru,13th shogun of the Ashikaga shogunate,33,17,Q447066; Q447066,2
Q16694,Sano Munetsuna,,6,0,Q11384993; Q11384993,2
Q16696,Masaki Tokitada,samurai of the Sengoku period,6,3,Q11545505; Q11545505,2
Q16700,Takeda Takematsu,,7,0,Q17210255; Q17210255,2
Q16701,Takeda Inuchiyo,,7,0,Q17210221; Q17210221,2
Q16702,Matsuo Nobukore,,9,1,Q6639864; Q6639864,2
Q16703,Takeda Souchi,,7,0,Q17210249; Q17210249,2
Q16704,Takeda Nobuzane,Japanese noble,11,4,Q2172860; Q2172860,2
Q16705,Takeda Nobutomo,,7,1,Q11546095; Q11546095,2
Q16707,Aburakawa,,7,1,Q6639601; Q6639601,2
Q16708,Uesugi no kata,Takeda Shingen's wife,5,2,Q106816355; Q106816355,2
Q16711,Oda Nobutada,eldest son of Oda Nobunaga; samurai who fought in many battles during the Sengoku period,28,7,Q2446917; Q2446917,2
Q16712,Oda Hidenobu,the son of Oda Nobutada and lived during the Azuchi-Momoyama period in the late-16th century,24,7,Q1187442; Q1187442,2
Q16713,Nishina Nobuhisa,,3,0,Q11376443; Q11376443,2
Q16714,Anayama Nobutada,Japanese samurai,15,15,Q2390843; Q2390843,2
Q16715,Anayama Katsuchiyo,,9,2,Q6639577; Q6639577,2
Q16716,Kiso Yoshimasa,samurai,10,3,Q6416834; Q6416834,2
Q16717,Kiso Yoshitoshi,,3,2,Q11518599; Q11518599,2
Q16718,Chiba Tanetomi,,4,1,Q11406724; Q11406724,2
Q16720,Chiba Shigetane,,5,1,Q11406784; Q11406784,2
Q16729,Kira Yoshiyasu,,4,2,Q11414260; Q11414260,2
Q16733,Nagao Fusanaga,,11,2,Q2102247; Q2102247,2
Q16734,Nagao Tamekage,Japanese feudal lord,19,8,Q909963; Q909963,2
Q16735,Keigan'in,,6,1,Q11536669; Q11536669,2
Q16736,"{'language': 'en', 'value': 'Uesugi Sadakatsu'}",,7,1,Q8514762; Q8514762,2
Q16737,Suwa Yorishige,samurai,19,8,Q2511179; Q2511179,2
Q16739,Uesugi Ujinori,,5,2,Q11359217; Q11359217,2
Q16741,Chiba Katsutane,,5,1,Q11405942; Q11405942,2
Q16744,Nambada Norishige,samurai of the Sengoku period,6,3,Q11659555; Q11659555,2
Q16745,Satomi Sanetaka,daimyo of the Sengoku period,11,4,Q11644642; Q11644642,2
Q16749,Satomi Yoshishige,son of Satomi Yoshihiro,6,1,Q11644670; Q11644670,2
Q16750,Satomi Tadayoshi,daimyo of the early Edo period,12,7,Q3473967; Q3473967,2
Q16753,Kira Yoshimoto,,3,2,Q11414253; Q11414253,2
Q16755,Kira Yoshisato,,3,2,Q11414268; Q11414268,2
Q16758,Ogasawara Ujioki,,9,1,Q10856551; Q10856551,2
Q1676,Tribhuwana Wijayatunggadewi,Javanese third monarch of Majapahit empire,31,15,Q3631722,1
Q16761,Matsudaira Morichika,head of Takenoya-Matsudaira clan,7,3,Q12594625; Q12594625,2
Q16762,Matsudaira Kiyoyoshi,head of Takenoya-Matsudaira clan,9,3,Q11239103; Q11239103,2
Q16765,Udono Ujinaga,,3,2,Q11675726; Q11675726,2
Q16766,Sena Ujisada,samurai of the Sengoku period,6,3,Q11566401; Q11566401,2
Q16768,Ii Naomune,Japanese samurai from the Sengoku period,8,3,Q11161208; Q11161208,2
Q16769,Ii Naomitsu,Japanese samurai,8,3,Q11161358; Q11161358,2
Q16770,Ii Naoyoshi,Japanese samurai ( - 1545),7,3,Q28210156; Q28210156,2
Q16771,Ii Naomoto,samurai,7,4,Q28565708; Q28565708,2
Q16776,Nakanomikado Nobutada,,2,1,Q109795657; Q109795657,2
Q16778,Yamashina Tokitsuna,,3,1,Q11470821; Q11470821,2
Q16779,Takeda Nobutsuna,,6,1,Q6639945; Q6639945,2
Q16780,Katsunuma Nobutomo,samurai,12,9,Q6378167; Q6378167,2
Q16782,Takeda Nobuaki,,8,1,Q11546116; Q11546116,2
Q16789,Mochidzuki Nobuyori,,18,1,Q6640093; Q6640093,2
Q16790,Takeda Nobutoyo,,9,2,Q6639981; Q6639981,2
Q16798,"{'language': 'en', 'value': 'Toyotomi no Sadako'}","{'language': 'en', 'value': '(1592-1658)'}",10,4,Q5354510; Q5354510,2
Q16799,Ichi no dai,wife of Toyotomi Hidetsugu. daughter of Kikutei Harusue,7,3,Q11352259; Q11352259,2
Q16800,Waka-mandokoro,,6,1,Q60452174; Q60452174,2
Q16801,Komahime,Japanese noblewoman of Azuchi-Momoyama period,9,2,Q11668336; Q11668336,2
Q16806,Toyotomi Tsuchimaru,,6,0,Q11634222; Q11634222,2
Q16807,Rogetsuin,,2,0,Q27920977; Q27920977,2
Q16808,Kiku,human (1595–1615),4,2,Q11263425; Q11263425,2
Q1681,Hayam Wuruk,Javanese King,39,11,Q29085,1
Q16812,Kinoshita Nobutoshi,,9,0,Q11518030; Q11518030,2
Q16813,Kinoshita Katsutoshi,daimyo of the Azuchi-Momoyama period,13,8,Q1553140; Q1553140,2
Q16815,Kinoshita Toshisada,,3,1,Q11517957; Q11517957,2
Q16816,Kobayakawa Hideaki,fifth son of Kinoshita Iesada and the nephew of Toyotomi Hideyoshi,25,13,Q1369568; Q1369568,2
Q16817,Asano Nagamasa,brother-in-law of Toyotomi Hideyoshi,20,9,Q1067546; Q1067546,2
Q16818,Asano Yoshinaga,daimyo,16,10,Q1143577; Q1143577,2
Q16822,Azai Hisamasa,daimyo of the Sengoku period,21,7,Q1075049; Q1075049,2
Q16823,Ono-dono,mother of Azai Nagamasa,8,2,Q11464139; Q11464139,2
Q16825,Azai Masamoto,samurai of the Sengoku period,10,3,Q11556941; Q11556941,2
Q16826,Azai Masayuki,samurai of the Sengoku period,10,4,Q11556940; Q11556940,2
Q16829,Oda Nobuhide,a warlord and magistrate of lower Owari Province during the Sengoku period of Japan,35,11,Q1153962; Q1153962,2
Q16830,Dota Gozen,"mother of Oda Nobunaga, a major feudal warlord in the Sengoku period of Japan",24,7,Q4207778; Q4207778,2
Q16831,Oinu no Kata,sister of Oda Nobunaga,13,3,Q10470303; Q10470303,2
Q16832,Oda Nobuhiro,daimyo,24,9,Q1188472; Q1188472,2
Q16833,Oda Nobuyuki,"the son of Oda Nobuhide and younger brother of Oda Nobunaga, who lived during the Sengoku period of Japan",24,8,Q1186776; Q1186776,2
Q16834,Oda Nagamasu,Japanese daimyo who lived from the late Sengoku period through the early Edo period,27,8,Q837903; Q837903,2
Q16835,Oda Shinji,"Japanese samurai of the Sengoku period, who served the Oda clan",22,7,Q851010; Q851010,2
Q16836,Oda Nobutoki,"the sixth son of Oda Nobuhide, a feudal warlord in Owari Province, Japan, during the Sengoku period",19,6,Q4215814; Q4215814,2
Q16837,Oda Nobuteru,younger brother of Oda Nobunaga,13,3,Q11608319; Q11608319,2
Q16838,Oda Nobuoki,younger brother of Oda Nobunaga,13,3,Q11608328; Q11608328,2
Q16839,Oda Hidenari,samurai of the Sengoku period; younger brother of Oda Nobunaga,13,2,Q11608407; Q11608407,2
Q1684,Raden Wijaya,"Raden Wijaya was a Javanese King, the founder and the first monarch of Majapahit empire",40,11,Q49334,1
Q16840,Oda Hidetaka,Japanese noble,21,9,Q4208111; Q4208111,2
Q16841,Oda Nagatoshi,samurai of the Sengoku period; the youngest brother of Oda Nobunaga,17,2,Q6544035; Q6544035,2
Q16842,Shibata Katsuie,Japanese nobleman and warrior,26,10,Q707587; Q707587,2
Q16843,Azai sisters,daughters of daimyo Azai Nagamasa and his wife Oichi,5,2,Q11556908; Q11556908,2
Q16844,Saji Kazunari,Japanese samurai,15,5,Q4761701; Q4761701,2
Q16856,Narita Nagayasu,,7,1,Q11495749; Q11495749,2
Q16858,Date Terumune,Daimyo of the Date clan of Mutsu Province,23,10,Q2625556; Q2625556,2
Q16859,Yoshi-hime,Mother of Date Masamune,12,4,Q11609951; Q11609951,2
Q16860,Date Masamichi,,11,3,Q10856428; Q10856428,2
Q16861,Mego-hime,"wife of Date Masamune, Japanese daimyo",17,4,Q5361697; Q5361697,2
Q16862,Iisaka no Tsubone,Date Masamune's concubine,7,3,Q11666140; Q11666140,2
Q16864,Yu Shanfang,,3,0,Q11504397; Q11504397,2
Q16866,Katsume,,3,0,Q11400216; Q11400216,2
Q16867,Murakami Tae,concubine of Date Masamune,5,3,Q11446838; Q11446838,2
Q16869,Date Hidemune,daimyo,20,10,Q8190896; Q8190896,2
Q16870,Date Muneyasu,,7,0,Q11380731; Q11380731,2
Q16872,Date Munetaka,son of Date Masamune,7,2,Q11380752; Q11380752,2
Q16873,Muu-hime,daughter of Date Masamune,7,3,Q11570261; Q11570261,2
Q16874,Date Munezane,,8,1,Q11380713; Q11380713,2
Q16875,Mine-hime,daughter of Date Masamune,5,3,Q11471909; Q11471909,2
Q16876,Date Munekatsu,daimyō,7,2,Q8514136; Q8514136,2
Q16877,Sengiku-hime,daughter of Date Masamune,5,4,Q11405852; Q11405852,2
Q16878,Date Tadamune,Daimyo of Sendai (1600-1658),27,14,Q115852; Q115852,2
Q16879,Date Munetsuna,Date Masamune's 5th son,7,3,Q10885143; Q10885143,2
Q16880,Date Munekiyo,,5,1,Q10885142; Q10885142,2
Q16881,Date Takematsumaru,,5,0,Q97031481; Q97031481,2
Q16882,Keigetsuin,,5,1,Q109328386; Q109328386,2
Q16883,Oniniwa Yoshinao,Japanese samurai,12,3,Q5363387; Q5363387,2
Q16885,Watari Munehiro,,2,1,Q70544691; Q70544691,2
Q16892,Nagayowai-in,,9,1,Q11654929; Q11654929,2
Q16893,Maeda Toshihisa,,19,2,Q10898943; Q10898943,2
Q16894,Maeda Yasukatsu,,8,3,Q11397525; Q11397525,2
Q16895,Sawaki Yoshiyuki,,8,3,Q11383495; Q11383495,2
Q16896,Maeda Hidetsugu,samurai of the Sengoku period,18,5,Q11397696; Q11397696,2
Q16897,Jufukuin,,7,1,Q11458352; Q11458352,2
Q16899,Ukita Hidetaka,,10,1,Q11449184; Q11449184,2
Q16900,Ukita Hidetsugu,,8,0,Q11449183; Q11449183,2
Q16902,Murai Nagatsugu,,6,2,Q11523022; Q11523022,2
Q16905,Maeda Nagatane,Japanese samurai,9,3,Q6729103; Q6729103,2
Q16906,Naotomo Maeda,(1586-1630),7,3,Q11397671; Q11397671,2
Q16907,Seki-hime,daughter of Gamō Ujisato. wife of Maeda Toshimasa,6,2,Q10513641; Q10513641,2
Q1691,Kertanegara of Singhasari,Ruler of Javanese kingdom Singhasari,17,6,Q47279,1
Q16912,Maeda Toshitsugu,Japanese daimyo of the early Edo period (1617-1674),12,8,Q11397439; Q11397439,2
Q16913,Maeda Mitsutaka,Japanese daimyo of the Edo period,14,9,Q6729106; Q6729106,2
Q16914,Kametsuru-hime,"daughter of Maeda Toshitsune, daimyo of Kaga. wife of Mori Tadahiro.",7,3,Q11371041; Q11371041,2
Q16915,Toshiharu Maeda,,6,2,Q11397442; Q11397442,2
Q16916,Jishoin,(1620-1700),4,3,Q11612770; Q11612770,2
Q16917,Tomi-hime,daughter of Maeda Toshitsune (1621-1662),5,3,Q17230021; Q17230021,2
Q16918,Maeda Toshiaki,,8,2,Q11397436; Q11397436,2
Q16920,Maeda Toshimoto,,13,1,Q11397432; Q11397432,2
Q16921,Maeda Takanori,,13,1,Q11397519; Q11397519,2
Q16922,Maeda Yoritaka,,13,1,Q11397527; Q11397527,2
Q16926,Genko-in,,6,2,Q17217673; Q17217673,2
Q16928,Oda Nobushige,daimyo; son of Oda Nobukane,9,3,Q11608336; Q11608336,2
Q16929,Oda Nobunori,,4,0,Q11608265; Q11608265,2
Q16930,Oda Nobumasa,,3,1,Q11608288; Q11608288,2
Q16932,Ukita Okiie,,7,1,Q11449186; Q11449186,2
Q16933,Ukita Tadaie,,8,2,Q11449180; Q11449180,2
Q16934,Ukita Haruie,,7,1,Q11449181; Q11449181,2
Q16935,Kikkawa Hiroie,daimyo,17,7,Q1049766; Q1049766,2
Q16946,Honda Tadatoki,daimyo (1596-1626),16,9,Q5892750; Q5892750,2
Q16947,Enseiin,,6,1,Q10517461; Q10517461,2
Q16948,Yukichiyo,,4,1,Q114861378; Q114861378,2
Q16949,Matsudaira Nobutada,[松平信忠] 6th head of Matsudaira clan in the Sengoku period,9,3,Q11239118; Q11239118,2
Q16950,Matsudaira Yasutaka,samurai of the Sengoku period,9,4,Q11530413; Q11530413,2
Q16951,Matsudaira Nobutaka,samurai of the Sengoku period,10,4,Q11239121; Q11239121,2
Q16956,Matsudaira Masayasu,[松平昌安] samurai of the Sengoku period,7,3,Q11530469; Q11530469,2
Q16957,Toda Yasumitsu,,11,2,Q10862103; Q10862103,2
Q16959,Matsudaira Yasutada,,7,2,Q11104450; Q11104450,2
Q16967,Mizuno Nobuchika,,6,1,Q22129298; Q22129298,2
Q16970,Mizuno Tadakatsu,,7,2,Q38278562; Q38278562,2
Q16974,Mizuno Katsushige,daimyo,17,9,Q8190277; Q8190277,2
Q16975,Mizuno Tadatane,,11,2,Q10565554; Q10565554,2
Q16976,Mizuno Tadakiyo,,9,1,Q10565545; Q10565545,2
